8715388
/m/027f_k_
/m/027f_k_
Georgette Heyer
1958
{"/m/02n4kr": "Mystery", "/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel", "/m/0c3351": "Suspense"}
a 6
about 2
actually 1
alive 1
also 2
an 1
ancestral 1
and 16
another 1
are 1
arrives 1
as 1
at 2
aubrey 2
aunt 1
away 2
awkward 1
awkwardness 1
be 1
beautiful 1
become 1
becomes 1
been 1
believe 1
best 1
bookish 1
both 1
brother 2
but 2
by 1
cause 2
chance 1
children 1
company 1
concerned 1
convince 1
convinced 1
country 1
creating 1
damerel 6
day 1
dead 1
descend 1
discovers 1
disgraced 1
disturbed 1
domestic 1
during 1
encounter 1
ending 1
escape 1
estranged 1
failed 1
fall 1
family 1
father 2
find 1
finds 1
first 2
follow 1
footsteps 1
for 3
friends 1
friendship 1
from 2
great 1
grew 1
had 3
happy 1
he 1
help 1
her 11
him 5
his 2
home 2
house 1
however 2
husband 1
in 3
inflict 1
inform 1
injured 1
insists 1
into 1
intolerable 1
invited 1
is 5
it 1
keeps 1
kindness 1
lamed 1
lanyon 2
lanyons 1
led 1
left 1
london 1
lord 3
love 1
loves 1
man 2
marriage 2
might 1
mother 3
motherinlaw 1
much 2
next 1
not 1
of 4
older 1
on 1
one 1
only 2
opinion 1
overprotective 1
overprotectiveness 1
own 1
peace 1
place 1
quiet 1
rakish 1
realises 1
reclusive 1
recover 1
relatives 1
revises 1
ruin 1
season 1
seeking 1
sensibly 1
sets 1
she 6
should 1
simply 1
situation 1
social 1
soon 1
spend 1
stay 1
still 1
strikes 1
take 1
takes 1
thanks 1
that 6
the 15
they 2
this 3
through 1
time 2
to 11
treats 1
uncle 2
up 2
upon 1
venetia 7
very 3
was 1
way 1
were 1
when 4
who 1
whom 1
wife 1
with 5
world 1
would 2
wrong 1
young 2
younger 1
