10680512
/m/02qm27n
/m/02qm27n
Judith Reeves-Stevens

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 16
accidental 1
accidentally 1
across 1
acted 1
actions 2
advanced 1
advocates 1
affecting 1
after 2
afterward 1
algae 1
aliases 1
all 1
allow 1
also 2
although 2
ambassadors 1
an 5
and 20
any 1
approaching 1
are 5
arranges 1
arsenals 1
as 4
assumed 1
astronauts 1
at 6
attacking 1
attributed 1
avoid 1
away 1
ballistic 1
be 2
beam 1
become 2
been 3
before 3
begins 1
below 1
billions 1
black 1
blamed 1
board 1
book 1
both 1
bridge 1
but 1
by 7
bylaws 1
called 2
capable 1
cargo 1
case 1
century 1
chekov 1
chief 1
civilization 1
coming 1
command 1
community 1
complicating 1
computer 1
concern 1
conclusive 1
conditions 1
conducive 1
confusion 1
consumption 1
contact 7
convenes 1
council 1
courtmartialed 1
craft 1
create 2
creature 1
crew 1
crippled 1
crystals 1
culture 3
danger 1
delicate 1
demoted 1
deny 1
destroy 1
destroying 2
destruction 2
detection 2
determine 1
determined 1
detonation 1
dilithium 1
directive 2
discharged 1
discovered 1
discovery 1
discuss 1
dishonorably 1
divided 1
do 1
down 2
dr 1
dread 1
drive 1
drones 3
each 4
earth 3
efforts 2
either 1
elimination 1
embassy 1
enemy 1
ensign 1
enterprise 5
enterprisefirst 1
equivalent 1
error 1
erupting 1
escaped 1
escaping 1
establish 1
events 1
exception 1
exchange 1
existence 1
explodes 1
faced 1
fact 1
federation 6
feverishly 1
fictitious 1
fired 1
first 5
fomented 1
food 2
for 9
forces 2
from 6
fullscale 1
further 1
future 1
galactic 1
gas 1
giant 1
give 1
going 1
group 2
growing 1
growth 1
harder 1
has 5
have 4
he 1
heightened 1
help 1
hence 1
hibernation 1
his 5
historic 1
however 1
identity 1
in 5
inadvertently 1
increasingly 1
individual 1
inhabited 1
inquiry 2
insectlike 1
instigating 1
intercontinental 1
interplanetary 1
intervention 1
into 4
intrusions 1
ire 1
is 10
it 3
iv 7
james 1
join 2
joins 1
joint 1
kirk 10
laborer 1
lands 1
late20th 1
leap 1
learning 1
lessons 1
likely 2
local 1
locked 1
made 1
make 1
manipulated 1
manipulation 1
many 1
matters 1
may 1
mccoy 3
means 1
missile 2
mission 1
monitoring 1
moon 2
more 1
most 1
mr 1
much 1
narrowly 1
nation 2
nations 1
naturally 1
near 2
nearby 1
nearlydestroyed 1
needed 1
new 1
no 1
not 4
now 1
nowclosed 1
nuclear 6
observation 2
occurring 1
of 22
office 4
officers 2
on 8
once 1
one 7
only 1
or 3
order 1
orion 1
other 3
own 1
paranoid 1
permitted 1
pirate 1
planet 9
planets 1
planetsized 1
point 1
political 1
possible 2
possibly 1
post 2
prepare 1
preparing 1
presence 1
prevent 2
prevented 1
prevents 1
prime 2
principal 1
prior 1
proof 1
prospect 1
provocations 1
purchase 1
radical 1
refurbish 1
rendezvous 1
reptilian 1
request 1
researching 1
resign 1
restored 1
return 1
revealed 2
revealing 1
reviving 1
scientists 1
scotty 2
security 1
seem 1
seemingly 1
selfdestruction 1
senior 2
sensing 1
sent 1
separated 1
ship 2
shortly 1
side 1
sides 1
signals 1
similar 1
situation 2
slave 1
slowly 1
smuggler 1
so 1
society 1
soon 1
source 1
space 3
sparing 1
speak 1
spock 4
starfleet 2
states 1
steal 1
student 2
subspace 2
substituted 1
sulu 1
superpowers 1
supposed 1
surface 2
survived 1
system 2
t 1
talin 18
targets 2
team 2
that 10
the 66
their 6
themselves 1
they 2
through 2
time 1
title 1
to 17
trader 1
two 3
uhura 2
ultimately 1
under 1
up 2
use 1
used 1
various 1
violation 1
vulcan 1
war 2
warhead 1
warp 1
was 2
way 1
went 1
were 2
what 2
when 1
whether 1
which 1
while 2
who 4
will 1
with 8
without 1
work 1
working 1
works 1
world 3
would 1
wrong 1
