21213282
/m/05b_h29
/m/05b_h29
Marie Corelli
1914

a 12
after 1
alive 1
all 1
already 1
always 1
amadis 3
an 2
ancestor 1
and 7
another 1
armitage 4
artist 1
as 2
at 4
be 1
been 2
before 1
believed 1
birth 1
birthright 1
blythe 4
book 1
brother 1
but 3
by 6
casts 1
child 1
claim 1
coincidences 1
confesses 1
confession 1
corellian 1
daughter 2
death 2
deathbed 1
departs 1
descendant 2
did 1
die 1
dies 1
discovers 1
dumped 1
during 1
earn 1
endangering 1
every 1
explained 1
explains 1
farm 4
feared 1
feels 1
fiancee 1
fling 2
flirtations 1
for 3
french 2
friend 1
from 1
gestures 1
going 1
had 5
has 4
he 5
heartbroken 1
her 8
herself 2
him 1
his 5
however 1
hugo 1
idealistic 1
illegitimate 1
in 3
indeed 1
infant 1
innocent 9
inspired 1
instead 1
into 1
is 2
it 2
italy 1
jocelyn 4
keep 1
knight 1
knows 1
lady 2
landlady 1
left 1
legally 1
literature 1
living 1
london 1
lord 2
love 1
lured 1
make 1
medieval 1
mere 1
mistakes 1
modernday 1
money 1
months 1
mother 1
name 1
never 1
noblewoman 1
none 1
of 7
on 1
once 1
one 2
out 1
personally 1
pierce 2
planning 1
prepares 1
preserved 1
pretentious 1
probably 1
promised 1
prosperous 1
raised 1
real 1
receives 1
relationship 1
result 1
return 1
returns 1
reveals 1
romance 1
romantic 1
romanticism 1
school 1
sending 1
serious 1
shallow 1
she 8
shed 1
sieur 2
since 1
six 1
storm 1
stranger 1
successful 1
tells 1
that 1
the 9
then 1
thinks 1
this 1
to 7
usual 1
violent 1
visit 1
was 3
when 1
who 2
wildly 1
with 3
woman 1
writes 1
writing 1
written 1
