12022961
/m/02vm6zf
/m/02vm6zf
James Patterson
2007-11-13
{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery", "/m/0lsxr": "Crime Fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 47
aaron 2
abby 1
able 2
according 1
acted 1
actor 1
after 6
afterward 1
again 1
agent 1
ago 1
air 1
alex 36
ali 1
all 1
allow 1
allowing 1
also 2
alterego 1
an 3
and 42
angering 1
announces 1
announcing 1
another 2
anthony 7
anyway 1
apartment 1
apologizing 1
apparent 1
appears 1
are 7
arrives 1
arriving 2
as 4
asked 1
assigned 1
at 5
attached 1
attempting 1
attend 1
audience 2
author 1
away 2
back 2
balcony 1
baltimore 1
basketball 1
be 3
been 1
before 2
being 1
bell 6
bestfriendcoworker 1
bet 1
big 1
blue 1
body 2
book 2
bounds 1
boy 1
bree 13
brian 1
brianna 1
brother 2
but 3
by 3
cabin 1
camera 1
car 2
card 1
caught 2
causing 1
chairs 1
chase 1
chased 1
coffee 1
conference 1
country 1
couple 1
courlevais 1
craig 7
crimes 1
crimewriter 1
cross 3
crushing 2
curses 1
damon 5
date 1
day 1
days 1
dc 3
dcak 17
dead 1
death 1
decides 2
defeating 1
demands 1
demao 1
dennison 1
department 1
designated 1
destination 1
detective 2
die 1
different 1
directions 1
discover 1
discovers 1
dissmisses 1
doing 1
down 1
during 1
dying 1
each 1
ends 1
escape 3
escapes 2
even 1
events 1
eventually 2
every 1
face 3
fan 2
fans 1
father 1
fbi 1
featuring 2
female 1
find 5
finds 2
flees 1
florence 2
footage 3
for 6
former 1
four 2
from 10
georgetown 1
get 3
gets 2
girl 2
give 1
given 1
gives 2
go 3
goes 5
grandmother 1
greeting 1
had 3
hallmark 1
hand 1
has 7
he 25
helicopter 1
help 1
her 6
hideout 1
him 6
himself 2
his 18
home 1
honor 1
hospital 1
hotel 2
house 1
however 1
humanlike 1
immediately 1
implying 1
impostor 3
in 25
internet 1
interrupted 1
interview 2
investigation 1
iowa 1
is 24
it 2
italy 1
jannie 1
jay 1
job 1
john 1
jr 1
judge 1
kid 1
kidnapped 1
kidnaps 1
kids 1
kill 1
killed 4
killer 3
killing 3
kills 4
kiss 2
kitz 2
kitzmiller 1
kyle 16
ladder 1
last 1
later 5
latest 1
lawyer 1
leads 1
learn 1
learns 3
leaves 1
leaving 2
let 1
longer 1
looses 1
love 1
maid 1
make 1
male 1
manages 1
many 2
marriedpregnant 1
mask 2
mason 3
massachusetts 2
mat 1
matthew 3
meanwhile 3
meet 1
meeting 1
meets 1
message 5
messages 1
mexicanfood 1
michael 1
michigan 1
milk 1
misses 1
missing 2
moment 1
money 1
more 1
mother 3
murder 2
murderer 3
murders 4
museum 1
my 1
named 1
nana 1
national 1
nearby 1
nearly 1
neil 1
news 2
nicknamed 1
nina 1
nixon 1
no 1
not 2
now 1
of 14
off 1
office 1
officer 1
ok 1
oldest 1
olsen 3
on 5
once 1
one 1
only 1
or 1
orders 1
originally 1
other 1
outside 1
over 1
paris 1
partner 1
patient 1
peace 1
person 2
phone 1
pictures 1
place 1
play 1
playing 1
pleas 1
police 2
posting 1
prep 1
press 1
pretended 1
pretending 1
prison 3
psychologist 1
punches 1
purchased 1
purposely 1
pursuit 2
puts 1
puzzling 1
quinlan 1
realizes 2
really 1
receive 1
received 1
receives 2
red 1
reporter 1
restaurant 2
resulting 1
returning 2
revealing 2
reveals 2
revenge 2
reviews 1
richard 1
roleplay 1
roof 3
roses 1
run 2
runs 2
sampson 5
sandy 8
sarah 1
saying 1
says 2
school 2
scolds 1
see 1
seeking 1
seen 1
sent 1
sentenced 1
serious 1
sets 1
setting 1
sexcrazed 1
she 3
shoot 2
shooting 1
shoots 1
shop 1
shortly 1
shouts 1
show 1
shows 1
since 2
sister 2
sits 1
sleep 1
so 1
socalled 1
someone 1
son 1
space 1
speak 1
speaking 1
stabs 1
stating 1
stay 1
stealing 1
stepehns 1
stephens 1
stone 1
street 1
suspects 1
suspicious 1
swears 1
taking 1
talks 1
tape 1
teen 1
tess 1
that 10
the 38
them 1
then 12
therapy 2
there 1
therefore 1
they 6
this 3
though 2
threw 1
through 1
throw 1
tied 1
time 1
to 44
tongue 1
toward 1
track 1
tracking 1
trying 1
turns 1
twice 1
two 1
tyler 1
under 1
up 4
upon 3
use 1
used 1
uses 1
victims 1
video 1
videos 1
violets 1
visit 1
visits 1
vowing 1
wainwright 2
waits 1
walker 1
wants 1
warveteran 1
was 4
washington 5
wearing 1
websites 1
when 6
where 10
which 1
while 4
who 11
whom 1
will 1
wish 1
wishes 1
with 7
witnesses 1
wolff 1
woman 6
woods 1
work 2
would 1
years 2
your 1
