1693852
/m/05nyp2
/m/05nyp2
Friedrich Dürrenmatt
1950
a 8
able 1
acknowledgment 1
action 1
after 2
ago 1
ahead 1
all 2
along 1
alternate 1
always 1
an 5
and 7
another 1
arrogant 1
as 5
assisted 1
back 1
be 3
been 3
bernese 1
best 1
bet 2
blamed 1
bring 1
brlach 17
but 3
by 2
cancer 1
career 2
chance 1
civilization 1
commissar 1
commit 2
committed 1
comprehensiveness 1
confrontation 1
considers 1
convict 1
correct 1
couldnt 1
courtroom 1
crime 3
crimes 2
criminal 1
death 1
deliberately 1
during 1
dying 1
efforts 1
enemy 1
even 1
evil 1
fact 1
falls 1
fatal 1
feels 1
final 3
finds 1
for 3
forever 1
forty 1
forward 1
friend 1
fruitless 1
furthermore 1
gastmann 17
guilty 1
had 11
has 1
he 3
him 1
his 2
i 1
ill 1
immediately 1
in 7
indeed 1
into 1
investigating 1
investigation 4
investigator 1
is 6
it 3
its 1
itself 1
just 1
justice 2
killed 1
kills 1
knew 1
known 1
lieutenant 1
lifelong 1
long 1
made 1
manipulated 1
manner 1
master 1
mete 1
method 1
mocking 1
murder 2
murdered 1
murdering 1
must 1
never 1
of 12
officer 2
old 1
one 3
out 1
overdue 1
pawn 1
perfect 1
perpetrator 1
personal 1
personally 1
plot 1
police 1
possible 2
pressed 1
previous 1
prove 3
punishment 1
purposefully 1
pursued 1
purveyor 1
pushed 1
recalled 1
remained 1
resulting 1
reveals 1
richard 1
ruined 1
schmied 6
seeming 1
selfdefense 1
so 1
solve 1
solved 1
step 1
such 1
supposedly 1
suspicion 1
terminally 1
that 7
the 11
their 1
then 1
therefore 1
thereof 1
they 1
this 1
tireless 1
to 11
toward 1
tschanz 9
twist 1
ulrich 1
unable 1
unexpected 1
upon 1
using 1
walter 1
wanted 1
was 2
well 1
went 1
whether 1
which 3
who 4
with 4
witnessed 1
would 2
years 1
yields 1
