588734
/m/02sxr6
/m/02sxr6
Judy Blume
1764
{"/m/014dfn": "Speculative fiction"}
a 11
about 1
above 1
aid 1
all 1
an 1
ancient 1
and 13
another 1
are 1
as 2
attempts 1
avert 1
badly 1
be 4
bear 1
because 1
becomes 1
been 1
before 1
begin 1
beginning 1
begins 1
begs 1
below 1
blocks 1
book 1
but 1
by 5
can 1
castle 4
cave 1
church 5
conrad 3
crushed 1
current 1
daughter 2
daughters 1
deal 1
death 3
deliver 1
destruction 1
dies 1
divorcing 1
each 1
either 1
end 1
ends 1
ensured 1
entrance 1
escapes 1
event 1
eventually 1
failed 1
falls 2
family 2
father 1
feels 1
fighting 1
find 1
finds 1
for 2
frederic 2
freed 1
friar 1
from 4
gigantic 1
give 1
go 1
grown 1
has 1
having 1
he 5
heir 1
helmet 1
her 3
hides 1
him 2
himself 1
hippolita 1
his 11
however 2
identifies 1
in 7
inexplicable 1
inhabit 1
interrupted 1
into 1
is 8
isabella 11
it 2
jerome 4
killed 1
king 1
kingdom 1
knife 1
knight 1
knights 3
large 1
leads 1
leaving 1
life 2
light 1
line 1
locked 1
lord 1
lordship 1
love 1
make 1
manfred 12
marking 1
marries 1
marry 1
marrying 2
matilda 4
meeting 2
must 1
mysterious 1
named 1
of 11
ominous 1
on 2
one 2
only 1
or 1
orders 1
other 1
otranto 3
out 2
own 2
owner 1
particularly 1
pass 1
peasant 1
present 1
prince 1
princess 2
proper 1
prophecy 1
protect 1
race 1
races 1
real 1
recognizes 1
removes 1
repent 1
resolves 1
revealed 1
safety 1
says 1
she 2
shirt 1
shortly 1
should 2
shoulder 1
sickly 1
signals 1
son 4
sorrow 1
stabs 1
story 1
suspecting 1
takes 1
talking 1
tells 1
terrified 1
that 5
the 25
then 1
theodore 10
they 2
things 1
thinking 1
this 2
to 19
too 1
tower 1
true 2
trumpet 1
tryst 1
turns 1
underground 1
understand 1
up 3
want 1
wedding 1
weddingday 1
when 1
whenever 1
where 1
while 2
who 4
whom 1
wife 1
with 3
work 1
wounds 1
