26321496
/m/0bbxys6
/m/0bbxys6
Kristin Cashore
2009
{"/m/01hmnh": "Fantasy"}
a 23
about 2
abuse 1
accept 1
accepting 1
accompanies 1
account 1
across 2
affair 2
after 10
afterward 1
again 3
against 1
agony 1
agrees 1
aimlessly 1
all 2
alone 1
along 1
also 6
among 2
an 4
and 59
antagonist 1
aran 1
archer 15
are 4
army 3
arrange 1
arrive 1
arrives 5
as 6
ashamed 1
ask 1
assassin 1
assistance 1
at 8
attack 2
avoids 1
awed 1
babies 2
back 1
banishment 1
battle 1
be 4
beauty 1
because 6
become 2
becomes 1
been 2
begin 2
begins 1
begun 1
being 3
believes 1
best 1
between 1
bitten 1
blurting 1
body 1
both 2
bothered 1
bothering 1
boy 2
brigan 11
brocker 4
brother 1
brothers 1
brought 1
burns 1
but 9
by 9
can 2
cansrel 1
capital 1
captured 1
cares 1
caring 1
casual 1
causing 1
ceremony 2
children 2
city 8
clara 4
clash 1
closer 1
coldly 1
come 2
comes 3
coming 3
commander 1
completely 1
confess 1
confesses 1
confide 1
confides 1
conquers 1
continue 1
continuously 1
control 1
convince 1
convinces 1
country 1
crack 1
criminal 1
cruelty 1
danger 1
daughter 1
dead 4
death 2
decides 1
dells 3
desire 1
desired 2
despairs 1
despite 1
die 1
different 1
differently 1
disconnect 1
disgusted 1
dismay 1
do 1
doctors 1
doesnt 1
doing 1
down 2
drove 1
drug 1
drugged 1
due 1
during 1
duty 1
each 1
earning 1
else 1
embarrassment 1
enemies 1
enough 1
entrances 1
equal 1
escape 1
escapes 1
estate 2
even 1
eventually 3
ever 1
everyone 1
evil 1
exalted 1
except 1
exist 1
exlover 1
extremely 1
eye 1
factions 1
falls 3
family 2
father 4
fathers 1
feel 1
feelings 1
fiddle 2
fighting 1
fights 1
finally 1
find 1
finds 1
fingers 2
fire 32
flees 1
flood 2
for 12
forces 1
forcing 1
forgiveness 1
forgives 1
fort 3
fought 1
found 2
frequency 1
frequently 1
friends 2
frightened 1
from 4
frost 1
furious 2
gained 1
gala 3
garan 2
gifted 1
girl 2
give 1
given 1
gives 1
goes 1
going 1
gorgeous 1
graceling 2
grieve 1
groups 2
guard 1
had 2
hailed 1
halts 1
hands 1
hanna 2
happy 1
hard 1
has 6
hated 1
hates 1
have 2
having 3
he 16
hear 1
heart 1
heat 1
heed 1
heir 1
heirs 1
held 1
help 2
helping 1
her 36
hero 1
herself 4
hidden 1
him 10
himself 3
his 15
hold 1
home 1
honesty 1
horse 1
hospitals 1
hurts 1
if 1
illegitimate 1
immediately 1
immensely 1
in 19
including 1
increased 1
increasingly 1
indeed 1
information 1
informs 1
intense 1
into 3
intoxicate 1
inviting 1
involved 2
is 27
it 5
jealous 1
jealousy 1
jod 1
joint 1
just 1
kidnapped 1
kids 1
killed 3
killing 1
king 9
kingdom 1
knew 1
knowing 1
land 1
large 1
leaders 2
leads 1
leaves 2
leck 4
led 1
lets 1
life 2
like 2
likewise 1
limits 1
links 1
little 1
liv 1
lives 2
living 2
long 1
look 1
loss 1
lost 2
love 5
loved 1
lovely 1
lust 1
main 1
major 1
make 3
making 1
man 1
many 6
mayhem 1
meet 2
meeting 3
meets 5
men 1
mention 1
mila 3
military 1
mind 3
minor 1
misses 1
monster 1
more 1
mostly 1
mother 2
mountain 1
mountains 1
mourn 1
mourns 1
much 5
murder 2
mysterious 2
name 1
named 1
nash 7
nashdell 1
nax 5
nearby 1
necessary 1
needs 1
never 3
newborn 1
no 1
none 1
north 1
not 4
of 22
on 7
once 4
one 6
only 4
or 1
orders 3
other 2
out 3
overwhelmed 1
own 3
pain 1
partly 2
partner 1
passing 1
passion 1
peace 3
people 3
picking 1
plaguing 1
planned 1
play 3
plays 1
pleased 1
point 1
power 1
prays 1
pregnancies 1
presence 1
pretense 1
prevent 1
primarily 1
prisoners 1
process 2
queen 1
questioning 1
quickly 1
rage 1
raped 1
really 1
reasons 1
reawakens 1
rebel 1
rebels 2
recalls 1
recognized 1
reconcile 1
red 1
refused 1
refuses 2
relationship 2
relationships 1
relative 2
relieving 1
remembers 1
reminds 1
request 2
rescued 1
resistance 1
resists 1
respectively 1
response 1
responsibility 1
results 1
return 1
returning 2
returns 1
revealed 3
risks 1
road 1
rocked 1
roen 3
role 1
royal 2
ruin 1
ruining 1
rule 1
rumors 1
sadness 1
safety 1
said 1
saved 1
saves 1
search 1
seclusion 1
secret 2
sees 1
set 1
several 1
she 46
shot 2
sight 1
silly 1
sire 1
size 1
skilled 1
slaves 1
so 3
soldier 1
soldiers 1
some 2
son 1
song 1
soon 3
sorrow 1
spark 1
spite 1
spymasters 1
squash 1
stable 1
stage 1
stake 1
status 2
stop 1
strange 1
struggle 2
succumbs 1
suffered 1
suggested 1
suicide 1
supplies 1
sure 1
take 1
takes 2
talk 1
tasks 1
tells 2
terms 2
thanks 1
that 14
the 62
their 8
them 2
then 1
there 3
they 5
theyve 1
thing 1
think 1
third 1
this 4
those 2
though 1
thoughtless 1
thoughts 1
three 1
throne 2
throws 1
time 4
to 62
torture 1
transported 1
trespassers 1
truce 1
truth 1
trying 1
tune 1
turning 1
twice 1
twins 1
twisted 2
two 13
unable 1
uncomfortable 1
uncommonly 1
unconscious 1
under 2
unknown 1
unwanted 1
upcoming 2
upon 1
used 1
using 1
villagers 1
voice 1
wanders 2
want 1
wants 2
war 1
was 1
way 1
when 4
which 3
while 5
who 9
wife 1
will 3
wished 1
with 21
without 1
women 2
working 1
worry 1
wounds 1
wronged 1
young 4
