6245696
/m/0fypyj
/m/0fypyj
Philip Roth
1962
{"/m/05hgj": "Novel"}
1 1
2 1
3 1
4 1
5 1
6 1
7 1
a 22
abortion 1
abortions 1
about 3
actual 1
admirer 1
after 4
ahead 1
alone 1
also 3
although 1
an 3
and 24
another 1
apartment 1
ardent 1
are 3
arguments 2
as 4
asher 4
asks 1
at 7
attempt 1
bachelor 1
backgrounds 1
based 1
be 2
because 2
become 1
becomes 1
bed 1
befriends 1
begin 1
beginning 1
begs 1
believe 1
between 1
blunt 1
boarding 1
book 2
both 3
break 2
broken 1
brooklyn 1
businesses 1
but 1
by 5
can 1
car 1
catholic 1
child 3
children 1
christmas 2
classes 1
cloistered 1
college 1
communicates 1
completely 1
conflicting 1
conversations 1
convincing 1
copy 1
cornell 1
couple 1
courting 1
courtship 1
crusader 1
day 1
death 2
debts 1
decides 1
degree 1
demands 1
dentist 1
desire 1
dialogue 1
discussion 2
distracted 1
divided 1
do 1
doctor 3
does 1
dominant 1
dont 1
down 1
drives 1
during 2
each 1
early 1
elope 1
encounters 1
end 2
engagement 1
eve 1
eventually 1
evidence 1
example 1
faced 1
factory 2
failed 1
family 2
far 1
father 6
fearing 1
feeling 1
fellow 2
few 1
find 1
finishing 1
first 2
following 1
for 1
forward 1
frank 1
from 9
gabe 12
gets 1
gifted 1
giving 1
go 3
graduate 5
had 1
has 5
have 1
having 1
he 11
help 1
henry 2
her 4
herz 3
him 4
himself 1
his 18
home 1
house 1
how 1
howells 1
however 2
hurts 1
imagine 1
in 18
instances 1
intellectual 1
into 1
iowa 2
is 15
it 3
james 2
jewish 1
just 1
kisses 1
korean 1
lady 1
language 1
later 3
learns 3
leave 1
left 1
letter 4
letting 1
libby 14
life 2
lifelong 1
listen 1
literature 3
little 1
live 1
loans 1
long 1
longer 1
loves 1
mad 1
man 1
many 2
marge 2
marriage 2
married 2
marry 1
meet 1
meets 1
men 1
michigan 1
might 1
military 1
mind 1
money 1
most 2
mostly 1
mother 4
move 1
much 1
name 1
narrative 1
narrator 1
nearly 1
needy 1
neither 1
new 3
no 3
none 1
nor 1
not 1
notorious 1
novel 3
number 2
occupied 1
of 31
oklahoma 1
on 4
once 1
one 2
only 1
opening 2
openly 1
opinions 1
other 2
out 1
over 1
pages 1
paints 1
parents 5
paul 18
perform 1
perhaps 1
phone 1
pities 1
places 1
poor 1
poorly 1
portrait 2
power 1
pregnant 2
problem 1
questions 1
react 1
read 1
reading 1
realizes 2
really 1
rebelling 1
receives 1
recognized 1
relationship 1
religious 1
renowned 1
responds 1
retrieve 1
return 1
reveals 1
room 1
roth 2
save 1
school 4
second 1
section 2
sections 1
seeks 1
seniors 1
series 1
serious 1
served 1
service 1
sets 1
seven 1
several 1
sexual 2
she 1
sick 1
single 1
skips 1
small 1
smart 1
so 1
solace 1
someone 1
son 1
soon 1
sorrows 1
speak 1
story 1
student 3
students 1
successful 1
support 1
taking 1
teaching 1
tells 3
thanksgiving 1
that 9
the 41
their 3
them 2
then 1
they 8
think 1
thinks 1
this 5
three 1
to 19
trip 1
two 2
uncle 1
uncles 1
undergraduate 1
understand 1
university 2
up 3
upset 1
very 3
visiting 1
wallach 6
want 1
wants 1
war 1
was 1
wasp 1
week 1
well 1
what 1
when 2
where 2
which 1
while 4
who 2
whom 1
why 1
wife 2
will 2
with 6
witnesses 1
women 1
work 2
working 1
world 1
would 2
wrote 1
year 1
years 1
york 3
