1862126
/m/061xqq
/m/061xqq
Brian Jacques
2005
a 13
abbess 1
abbey 3
accuracy 1
afire 1
after 4
afternoon 1
against 1
air 1
all 2
allows 1
along 3
amazing 1
among 1
an 2
and 27
another 1
appear 1
are 1
as 2
assistance 1
at 6
attacks 2
attempt 1
attempting 2
attempts 1
back 1
badger 1
band 2
banjon 1
banya 1
barbed 1
barricade 1
be 3
because 1
begins 1
bellmaker 2
birds 2
blanedale 1
brantalis 2
breastplate 1
bringing 1
brink 1
brinty 2
builds 1
burning 2
but 3
by 2
cat 1
clans 5
clues 1
continue 1
coronet 1
corriam 1
crown 1
cuthbert 2
daughter 1
deciphering 1
descended 3
dies 1
discussion 1
down 1
dream 2
drops 1
encampment 1
enslaved 1
establishes 1
face 3
families 2
famous 1
father 2
felis 2
ferocious 1
few 1
fight 1
finding 1
finds 1
finnbarr 3
first 1
flies 1
flying 1
for 1
forces 2
forcing 1
form 1
fortress 1
fray 1
free 2
freed 1
friends 3
from 6
frunk 2
galedeep 4
gather 1
geminya 1
girry 1
go 1
goose 1
greatly 1
green 7
greyspoke 1
ground 1
had 3
half 1
hare 1
hares 1
has 1
have 2
heads 1
help 1
her 9
hiding 1
high 4
highpeak 1
him 3
himself 2
his 6
however 3
hurls 1
in 10
incident 1
including 1
injured 1
intimidated 1
into 6
is 6
isle 7
it 1
jeefra 2
jumps 1
kaltag 1
kill 2
killed 2
kills 1
kin 1
knowing 1
known 2
kolun 1
kroova 2
lady 1
lance 1
later 2
law 1
leadership 1
leads 1
learns 2
leatho 4
leave 1
led 1
listen 1
living 1
logalog 2
long 2
lord 2
lorgo 1
loss 2
lost 1
lycian 1
made 1
male 1
manage 1
mandoral 1
many 2
martin 1
mask 1
mate 1
meanwhile 1
meet 1
mind 1
monster 1
mossflower 1
named 1
need 1
nessietype 1
new 2
newly 1
no 1
not 1
novel 1
now 1
number 1
of 20
off 3
old 1
on 2
one 1
only 1
order 1
orders 1
osprey 3
other 1
otter 7
otters 5
out 2
own 1
pandion 6
part 2
patrol 2
petunia 1
piketalon 1
pitru 5
previously 1
proclaimed 1
purloined 1
queen 1
quelt 1
quick 1
rab 1
reaches 1
receives 1
recovering 1
redwall 3
redwallers 1
rejoin 1
remaining 1
return 1
returns 1
revenge 1
rhulain 4
riddles 1
riggu 7
riggus 1
ripped 1
rogue 1
route 1
routes 1
ruling 1
run 1
sadly 1
sails 1
salamandastron 1
same 1
save 1
scare 1
scorns 1
scouring 1
sea 1
seeing 1
seeking 1
service 1
set 1
shark 1
she 8
shellhound 4
ship 1
shortly 1
sinks 1
sister 2
skin 1
skipper 1
skippers 1
skyfurrow 1
slain 1
slays 1
sling 1
slothunog 1
small 1
snowdrop 1
so 1
solve 1
some 3
son 2
sons 2
soon 1
square 1
standoff 1
star 1
streambattle 1
streamdog 1
strikes 1
submission 1
swear 1
take 2
taken 1
takes 1
talons 1
telling 1
terrorizing 1
that 4
the 46
their 3
them 2
they 2
this 3
through 1
time 1
tiria 13
to 23
torn 1
tower 1
trapped 1
tribsy 1
triss 1
trouble 1
two 1
up 1
upsets 1
urfa 2
various 1
vengeance 1
vermin 4
visiting 1
warlord 2
warrior 1
wavedog 1
way 1
wear 1
were 1
when 4
where 3
who 2
wildcat 3
wildcats 2
wildlough 4
will 1
with 11
wood 1
woods 1
