25569879
/m/09rw4r5
/m/09rw4r5
Robert S. McElvaine
2001
{"/m/05h83": "Non-fiction"}
10000 1
a 14
about 2
acceptance 1
accomplished 1
accurately 1
achievement 1
actual 1
actually 1
adam 1
adrift 1
against 1
age 2
ago 1
agriculture 4
all 4
allegory 1
almost 1
also 1
although 1
an 4
analogy 1
and 20
animal 1
apparent 1
aquinas 1
are 5
areas 1
argues 3
aristotle 1
arose 1
as 10
associated 2
at 1
avoid 1
backlash 2
based 2
be 2
became 1
because 1
become 1
been 4
begins 1
behavior 1
being 1
belief 3
book 2
both 1
bread 1
bronze 1
brow 1
but 2
by 6
calls 1
can 1
cannot 1
capabilities 1
changed 1
chapter 1
characteristics 1
classic 1
classified 1
clear 1
clearly 1
closer 1
combination 1
compete 1
conception 2
conclusion 3
concomitant 1
consequences 1
constitute 1
contained 1
contentions 1
continue 1
continues 1
create 1
created 1
creative 1
creator 1
crossed 1
crucial 1
cultures 1
decades 1
declined 1
defense 1
define 1
defined 1
definition 1
definitions 1
deformed 1
degree 1
devalued 2
devastating 1
development 1
differences 1
direct 1
distant 1
division 1
do 1
done 1
down 1
early 1
earn 1
easily 1
eating 1
effects 1
emanating 1
enormous 1
equally 1
essentially 1
eve 2
eves 1
existence 1
expressions 1
fall 2
false 1
farming 1
female 1
first 1
following 1
food 1
for 4
forth 1
frequently 1
freud 1
from 7
fruit 2
furrowed 1
fury 1
gains 1
generally 2
genesis 1
given 1
go 1
god 4
godly 1
grew 1
groups 1
growing 1
grows 1
had 5
has 4
hath 1
have 4
having 1
he 1
hell 1
herding 1
his 3
history 3
historypretty 1
horizontal 1
human 6
humans 2
huntergatherers 1
hunting 1
idea 1
ideas 2
image 1
implications 1
importance 1
important 1
improper 1
in 23
incomplete 1
increasingly 1
inescapable 1
inevitably 1
inferior 3
information 1
intentional 1
into 3
invention 2
irresistible 1
is 9
it 2
itand 1
its 3
knowledge 1
led 2
left 1
legacies 1
legacy 1
less 1
life 2
lifeand 1
like 2
likelihood 1
line 1
lived 1
longer 1
longterm 1
loss 2
major 1
making 1
male 4
males 1
man 7
manhood 1
manliness 1
masculinist 1
mcelvaine 8
meaningful 1
men 12
menacing 1
metaphor 7
methods 1
misconception 1
misconceptions 1
mislead 1
misshaped 1
mistaken 1
monotheism 1
more 1
most 2
movement 1
much 1
must 1
needed 1
negative 2
neolithic 3
new 3
no 2
not 2
notawoman 2
notion 1
notwithstanding 1
nourishing 1
now 1
numbers 1
of 38
official 1
offspring 1
on 4
once 1
one 2
opposition 1
or 3
original 1
other 1
paradise 1
paradoxically 1
part 1
paths 1
people 2
perfection 1
picking 1
planted 1
planting 1
point 1
points 1
positive 1
power 2
preagricultural 1
predators 1
present 1
proceeds 1
procreative 1
production 1
profound 1
provide 1
puts 1
radically 1
real 1
realms 1
recent 1
recorded 2
remained 1
reproduction 1
resentful 1
rest 1
result 1
retrospect 1
roles 2
says 4
see 1
seed 9
seek 1
seeking 1
seemed 1
seen 2
semen 1
separate 1
settled 1
sexeswas 1
simply 2
single 1
situation 1
so 3
soil 3
some 1
sought 1
species 1
sprouted 1
standard 3
story 1
striking 1
subordination 1
substantially 1
supposed 1
suppression 1
supreme 1
sweat 1
synopsis 1
terms 1
than 2
that 13
the 55
their 2
themselves 1
there 1
these 1
they 1
third 1
this 3
those 1
through 1
throughout 2
thus 2
till 1
to 17
today 1
took 1
total 1
toxic 1
traditional 1
traditionally 1
traits 1
transform 1
tree 1
trees 1
ultimate 1
unprecedented 1
us 3
value 1
values 2
vast 1
ventured 1
vertical 1
very 1
viewpoint 1
vulva 1
was 4
ways 2
website 1
well 1
were 1
what 4
which 7
who 1
widespread 1
with 6
without 1
woman 2
womanliness 1
womanmade 1
women 11
womens 1
work 1
world 2
years 1
yielded 1
