5855224
/m/0f96_c
/m/0f96_c
William Morris
1896
a 7
adventure 1
adventures 1
after 1
along 1
also 1
an 1
ancient 1
and 12
another 1
are 1
at 3
attains 1
become 2
beyond 1
brigands 1
but 3
by 2
called 2
can 1
citystate 1
confer 1
contrary 1
dangers 1
decide 1
destiny 1
down 1
drink 1
drunk 2
edge 1
egalitarian 1
elements 1
end 1
eventually 1
face 1
fellow 1
find 2
foes 1
folk 1
fourth 1
from 3
further 1
grave 1
had 1
has 2
have 2
help 1
helped 1
hermit 1
heroism 1
his 2
home 1
in 2
including 1
increased 1
is 1
it 1
journey 1
killed 1
king 1
kingdom 1
kingdoms 1
knightly 1
lady 2
language 1
learned 1
level 1
lies 1
life 1
live 1
lovers 1
magic 1
maiden 1
many 2
medieval 1
meets 2
minor 1
models 1
more 3
morris 1
mountains 1
much 1
must 1
mysterious 1
near 1
nearimmortal 1
nearimmortality 1
now 2
of 14
on 4
oppressed 1
or 1
out 1
outward 1
parents 1
peaceful 1
people 1
poor 1
prosperity 1
ralph 6
reduced 1
returning 1
righted 1
righteous 1
rulers 1
sage 2
sea 1
seaward 1
seek 1
separately 1
sets 1
settle 1
side 2
slave 1
so 1
some 1
son 1
stodgy 1
story 1
strengthened 1
strife 2
sweveham 1
takes 1
tales 1
tells 1
than 1
that 2
the 32
them 1
they 5
those 2
to 5
together 1
traders 1
travellers 1
treacherous 1
unscrupulous 1
upmeads 1
upon 1
ursula 2
using 1
wall 3
way 3
wayfarers 1
well 8
were 1
whether 1
which 2
who 5
whom 1
wider 1
will 1
wishes 1
with 2
world 3
wrongs 1
year 1
youngest 1
