16543334
/m/03y9hr5
/m/03y9hr5
Tim Bowler
2004-10-07
a 36
about 4
accepts 1
advice 1
after 2
again 3
against 2
age 2
aground 2
alive 1
all 5
allow 1
also 2
an 3
ancestors 1
and 71
angry 1
apocalypse 4
apparently 1
appear 1
appears 2
are 13
around 1
arrive 1
arrives 1
as 9
ask 1
asks 1
at 5
attack 2
attacked 3
attacking 1
attacks 1
attempt 1
attempting 1
attention 1
authority 1
away 1
awkwardly 1
back 7
bankruptcy 1
barely 1
be 5
beaten 1
because 1
been 1
before 2
beginning 1
begins 1
behind 1
believe 2
bit 1
bludgeoned 1
board 1
boat 6
body 1
book 1
both 1
brand 2
briefly 1
brother 1
building 1
buries 1
but 4
by 8
cairn 4
called 4
can 2
cannot 4
captured 1
carved 1
catering 1
cave 4
charge 1
chased 1
chases 1
chest 1
childbirth 1
church 2
cliff 1
climb 1
clothes 1
clubs 1
come 2
community 2
concealed 1
confront 2
consciousness 1
contact 1
contemptuous 1
couple 1
cover 1
crucifix 1
daughter 1
day 3
days 2
death 5
decision 1
declared 1
description 1
despite 2
destroyed 1
devil 3
die 2
died 2
difficult 1
dingy 3
disappears 1
discovers 2
diverted 1
do 1
does 2
down 2
drown 1
during 2
dying 1
elderly 1
eldest 1
empty 1
end 1
ends 1
enough 1
enquires 1
equipment 1
escape 3
especially 1
even 1
every 1
everything 1
evil 1
except 1
explains 3
exploring 2
family 4
father 4
filled 1
final 1
find 7
findings 1
finds 3
fishing 1
flaming 1
flinch 1
flung 1
follows 2
food 1
for 4
forced 2
four 1
free 1
from 4
get 6
girl 5
gives 2
glimpses 1
go 4
god 1
goes 5
going 1
gone 1
grazed 1
grief 1
had 6
hang 1
happening 1
has 2
hates 1
have 1
he 24
help 2
helps 2
her 20
hideout 1
hill 1
him 18
himself 3
his 23
hits 1
horribly 1
hostility 1
however 12
in 6
infertile 1
insists 1
insults 1
into 5
is 24
island 9
islanders 8
it 5
jim 1
jumps 2
just 1
keeps 1
killed 1
kisses 1
kit 30
knocked 1
know 1
known 1
land 1
large 1
last 1
later 4
leader 1
learns 1
leave 3
leaves 2
left 1
lied 1
like 1
lose 2
loses 1
lot 1
love 2
lying 1
make 1
makes 1
man 14
manage 1
manages 5
meanwhile 1
meet 1
meets 1
men 2
missing 1
moment 1
more 1
mother 3
mountain 1
moves 1
much 1
muscular 1
mysterious 2
naked 1
name 1
names 1
nasty 1
nearby 8
next 1
night 1
not 3
notice 1
notices 2
now 2
of 15
off 5
old 1
on 11
once 1
open 1
out 4
over 2
own 3
pack 1
parents 8
part 1
passionately 1
people 1
picks 1
pin 1
pinned 1
plans 1
point 1
position 1
predicament 1
prepare 1
present 1
protagonist 1
prove 1
provides 1
pull 1
questions 1
quickly 2
radio 1
rape 1
raped 1
reaches 1
react 1
recently 1
regains 1
releases 1
religious 1
remaining 1
remembers 1
reprimands 1
rescued 1
resembles 1
responds 1
rest 1
return 3
returns 4
revealed 1
reveals 3
rock 5
rocks 1
rough 1
round 1
rowing 1
run 3
runs 1
safety 1
sags 1
sail 1
sailing 1
same 1
sarah 1
saved 1
saw 1
sea 2
searches 2
searching 1
seeing 1
sees 2
set 1
sets 1
several 1
she 14
sheltered 1
shore 1
signal 1
single 1
skaer 1
skaerlander 1
skaerlanders 1
skipper 1
slashed 1
small 2
so 2
sold 1
some 5
son 1
speaking 1
splinters 1
starving 2
stayed 1
stiffly 1
still 1
stones 1
stop 1
storm 1
story 2
strange 1
strip 1
strips 1
suddenly 4
suffer 1
surprised 1
takes 3
taking 1
tell 1
tells 6
tent 1
than 1
that 20
the 85
their 7
them 10
themselves 1
then 4
there 1
they 20
this 1
threatens 1
three 1
throwing 1
throws 1
time 3
to 60
together 1
told 1
torchbearers 1
torches 1
torin 6
torture 1
touched 1
towards 1
two 5
uddi 3
ula 16
under 1
unhelpful 1
up 4
very 1
vessel 1
village 5
villagers 2
voyage 2
wakes 1
wall 1
wants 1
warren 1
was 4
watch 1
water 3
wave 2
way 1
weak 1
wealthy 1
weight 1
well 1
were 1
when 7
where 2
which 2
while 1
who 8
whose 1
will 2
windflower 2
with 12
women 1
worse 1
wyn 3
yacht 5
you 2
young 1
zak 2
