7133000
/m/0h5x07
/m/0h5x07
Tami Hoag

168 1
a 16
abandon 1
able 1
abort 1
about 2
accepts 1
address 1
also 1
an 3
and 8
angeles 1
anonymous 1
answers 1
approaches 1
are 1
as 2
assigned 1
associated 1
attempts 1
attorneys 1
available 1
away 1
bag 1
barely 1
be 3
because 1
been 1
before 1
begins 1
best 2
bike 3
black 1
body 1
bottomfeeder 1
boys 1
brother 2
built 1
businesswoman 1
but 3
by 2
can 3
cannot 1
car 1
career 1
case 1
cash 1
celebrity 1
chen 1
children 1
chinese 2
city 1
claim 1
collision 2
comes 1
community 1
crawling 1
damon 1
decides 1
deciding 1
defense 1
delivering 1
delivery 5
despite 1
detective 1
dies 1
discover 1
dispatcher 1
does 2
down 1
duty 1
elderly 1
elite 1
else 1
elude 1
empty 1
end 1
eventually 1
everyone 1
extremely 1
falls 1
fame 1
fantasy 1
find 2
finds 1
foot 1
for 3
forced 1
from 1
fueled 1
get 1
gives 1
giving 1
go 1
gone 1
good 1
happy 1
has 4
have 1
he 15
headlines 1
her 5
him 6
his 7
homicide 1
hospital 1
if 1
ill 1
in 4
instead 1
iq 1
is 10
it 5
jace 9
job 2
just 1
kev 1
killeror 1
know 1
la 1
lapd 1
large 1
late 1
lead 1
learned 1
learns 1
leaves 1
lenny 1
lesson 1
like 1
liking 1
live 1
los 1
loses 1
lot 1
lowell 6
madame 1
make 1
makes 1
making 1
messenger 2
miserable 1
money 1
mother 2
murder 1
murdered 1
nervous 1
new 1
nice 1
night 2
not 3
of 7
off 1
offduty 1
office 2
on 2
one 4
only 3
over 1
package 1
paid 1
pair 1
parker 3
parttime 1
pickup 1
place 2
police 2
pursuer 1
racing 1
radar 1
raised 1
relieved 1
remain 1
replace 1
reputation 1
retains 1
returns 2
run 1
scene 2
search 1
sensationalism 1
she 1
show 1
since 2
slaying 1
sleaziest 1
so 3
stay 1
sure 1
survives 1
takes 4
tells 1
that 7
the 23
their 1
them 1
there 1
tip 1
to 21
towards 1
town 1
trust 1
truth 1
two 1
tyler 1
under 1
up 1
wants 1
wet 1
wheel 1
when 3
which 1
who 2
why 1
will 2
with 3
wont 1
would 1
years 1
younger 1
