310640
/m/01t44l
/m/01t44l
Alexandre Dumas

{"/m/0hwxm": "Historical novel"}
a 38
abb 1
abbey 1
able 1
aboard 2
about 4
accepted 1
accidentally 1
accompanying 1
achievements 1
acquaintance 1
action 1
actually 1
address 1
adopted 1
advancement 1
adversaries 2
adversary 1
after 13
again 4
against 3
age 1
agent 1
ahead 1
aid 1
aiding 1
all 3
allegiances 1
almost 1
along 3
alongside 1
also 1
altar 1
although 1
ambition 1
among 1
amusement 1
an 7
and 74
anne 6
antagonists 1
anyway 1
appeals 1
aramis 16
are 11
army 4
around 1
arrange 3
arrest 1
arrested 1
arrives 1
as 14
ask 1
asks 2
assistance 2
assume 1
at 13
athos 24
attacked 1
attempting 1
audience 1
austria 2
avaricious 1
avenging 1
back 2
bait 1
balls 1
baron 2
barony 1
bastille 2
battle 2
bazin 3
be 6
beadle 1
beaufort 2
became 1
become 3
becomes 1
bedroom 1
been 4
before 2
beggar 1
begins 1
being 2
blast 1
blois 1
blow 1
blows 1
bluffing 1
board 1
boat 2
bonacieux 1
born 1
both 1
boy 1
bragelonne 1
bring 1
brink 1
brotherinlaw 1
brought 2
broussel 1
bthune 1
but 10
by 11
calls 1
can 2
captain 1
capture 1
captured 2
cardinal 1
career 1
castle 1
castles 1
cause 1
chambers 2
chambre 1
champion 1
chance 2
changed 1
changes 1
charles 5
chevreuse 1
chief 1
citizens 1
civil 1
claiming 1
clandestine 1
clear 1
close 1
come 2
comes 3
command 2
commissions 1
communication 1
completely 2
comte 4
concessions 3
cond 1
confesses 1
confession 1
confirmed 1
conflict 1
confront 1
consequence 1
conspirators 1
contemptuously 1
continues 1
contrive 1
contrives 1
conversation 1
correctly 1
course 1
cromwell 4
crossed 1
crowd 1
dame 1
dark 1
dartagnan 40
de 17
death 2
debt 2
decoration 1
defeated 1
deliberately 1
demanding 1
departing 1
departs 1
departure 2
desires 1
despite 3
detain 1
deter 1
determined 1
detest 1
dherblay 1
diamond 2
different 1
differing 1
disagreeable 1
discover 1
discreetly 1
disobedience 1
does 3
drags 1
dropping 1
du 1
duc 3
duel 2
during 2
dying 2
earlier 6
encounter 1
end 5
enemies 1
england 5
english 2
enlisted 2
enter 5
enters 2
equal 1
escape 8
escapes 2
escort 1
estate 2
example 1
exception 1
exchange 1
excuses 1
executes 1
execution 2
executioner 3
explosives 1
fact 1
fail 1
fallen 1
false 1
fate 1
father 1
fearing 1
feeling 1
feigns 1
ferry 1
fight 1
fighting 1
finally 2
find 7
finding 2
finds 5
first 2
focus 1
following 1
for 17
force 1
forced 1
fording 1
forgive 1
forgotten 1
former 4
fortune 1
four 5
france 1
