22815721
/m/06408gr
/m/06408gr
Raymond E. Feist
1995
{"/m/01hmnh": "Fantasy"}
a 15
after 4
aids 1
along 1
already 1
an 2
and 13
another 1
anymore 1
apparent 1
appears 1
are 3
army 1
around 1
artifacts 3
as 8
at 2
attempt 1
avery 1
background 1
be 1
becomes 1
becoming 2
begin 1
being 1
bg 1
book 2
borric 1
brings 1
bully 1
but 2
buying 1
by 2
calis 4
cannot 1
centers 1
child 1
childhood 1
closely 1
coming 1
contaminated 1
continent 1
corporal 1
corrupted 1
cousins 1
crimes 1
darkmoor 2
decided 1
decides 1
deeper 1
delve 1
demon 1
demons 1
den 1
discern 1
discovers 1
distraction 1
down 1
dragon 2
duke 1
dun 1
duncan 1
een 1
elvandar 1
end 1
ends 1
energy 1
erik 9
escape 1
eventually 2
explanation 1
faints 1
family 1
father 3
find 3
follow 1
follows 1
fooling 1
force 2
forces 1
friend 1
frlascension 1
from 3
gem 1
greatly 1
group 1
hanged 1
has 1
have 2
he 2
helmet 1
help 1
her 2
him 2
his 4
home 1
how 1
human 1
important 1
in 10
infuse 1
inn 1
into 3
involved 1
is 9
isles 1
it 4
its 1
james 1
journey 1
key 3
king 1
kingdom 1
koopmansprins 1
krondor 2
lava 1
learns 1
leaves 1
life 1
lifestone 2
little 1
lord 2
lost 1
macht 1
man 1
many 1
marchand 1
meet 1
meets 1
merchant 1
miranda 2
more 1
mother 1
mountain 1
mountains 1
nakor 1
near 1
nlde 1
nor 1
not 1
novindus 2
of 17
on 5
once 1
one 1
open 1
out 2
pantathian 1
pantathians 3
pardoned 1
party 1
plans 2
player 1
plot 1
possibly 1
priests 1
primarily 1
prince 1
progression 1
promise 1
pug 1
quest 1
questions 1
quick 1
quickly 1
raped 1
ravensburg 2
realm 1
reinfiltrate 1
releases 1
rents 1
rescued 1
rest 1
returned 1
rich 2
richest 1
rise 2
roo 13
rosalyn 1
rupert 1
sacrifices 1
sail 1
save 1
see 1
sent 1
serpent 1
serpents 1
services 1
serving 1
sidelines 1
sight 1
slaughtering 1
small 1
somehow 1
something 2
special 2
spellweavers 1
squad 2
states 1
staying 1
stefan 1
steps 1
teamster 1
that 6
the 40
their 5
them 2
there 1
they 6
third 2
this 1
thousands 1
time 2
to 17
told 1
tomas 1
tosses 1
town 1
trader 1
travel 1
tremendous 2
turns 1
unanswered 1
unexpectedthe 1
unit 1
up 1
use 1
used 1
van 1
visit 1
visits 1
von 2
wagon 1
war 3
was 1
way 2
we 2
were 3
western 1
what 1
where 1
which 1
while 1
who 5
why 1
with 4
work 1
worksomeone 1
young 1
