5740554
/m/0f251n
/m/0f251n
Harry Turtledove
1994-01-03
{"/m/0mz2": "Alternate history", "/m/014dfn": "Speculative fiction"}
12th 1
141 1
142 3
30 1
50000 1
56th 1
67th 1
800 1
a 28
able 1
about 2
above 1
accordance 1
acres 1
across 2
acting 1
ad 1
administrative 1
advanced 3
advancing 1
advantage 2
africa 2
after 8
against 2
agricultural 1
aimed 1
air 1
airborne 1
aircraft 1
airfield 1
alien 4
aliens 2
all 2
allied 1
allies 1
allow 1
ally 1
almost 2
also 2
although 2
ambassador 1
ambushed 1
america 3
american 2
americans 3
an 11
and 59
another 1
antarctica 1
antiarmor 1
any 3
are 19
armies 2
armor 1
army 4
around 2
arrangements 1
arrival 1
arrives 2
arriving 1
artillery 3
as 14
asia 1
asked 1
assault 2
assignment 1
assures 1
at 8
atlantic 1
atmosphere 1
atom 1
atomic 5
atomics 1
atomize 1
attack 7
attacks 2
attempt 2
atvar 11
audience 1
australia 1
awakened 2
awarded 1
axis 1
back 5
badly 1
balance 1
band 1
barrages 1
base 1
bases 4
battered 1
battering 1
battery 1
battle 2
bavaria 1
bavarian 1
be 5
because 3
been 3
before 1
began 1
begin 4
begins 3
being 2
beings 1
believe 1
berchtesgaden 1
berlin 2
between 3
blizzard 1
bloomington 2
bombers 1
bombing 1
bombs 1
both 1
bradley 2
breaking 1
brief 1
bulk 2
bullets 1
business 1
busy 1
but 4
by 10
c 1
call 1
camps 1
campus 1
can 4
cancel 1
capital 1
captured 2
care 1
carefully 1
carrier 1
carries 1
cause 1
center 1
century 1
ceremony 1
ceti 1
chance 1
changed 1
chaos 1
charged 1
chernobyl 1
chicago 7
chief 1
chips 1
chunks 1
city 2
civilian 1
civilization 1
close 1
cold 2
collecting 1
colonel 1
combat 2
come 1
commandeered 1
commence 1
commercial 1
communications 3
company 1
compelled 1
completely 1
component 1
computer 1
conduct 1
confident 1
conquest 5
consult 1
consults 1
continent 1
continues 2
convince 1
cooperation 1
cost 1
costs 2
counterattacks 1
counteroffensive 1
course 1
cross 1
currently 1
custodian 1
cutting 1
dangers 1
days 1
dc 3
deal 1
december 1
defeat 1
defend 1
deliberate 1
denver 1
dependent 1
desert 1
designated 1
desperate 1
destroy 4
destroyed 1
destruction 1
detail 1
detonates 1
detonating 1
detonations 1
develop 1
difficult 1
disarray 1
discovers 1
disgorging 1
dismayed 1
displaced 1
display 1
disrupt 1
divide 1
do 1
drift 1
during 1
early 1
earth 8
easily 1
east 1
economy 1
effect 1
effectiveness 1
efficient 1
effort 1
electromagnetic 2
electronics 1
elsewhere 1
emanating 1
emissions 1
