2059673
/m/06j7qr
/m/06j7qr
Bernhard Schlink
1995
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
158 1
15yearold 3
18 1
188 1
300 1
36 1
36yearold 1
a 35
about 4
absent 1
absolution 1
abusive 1
accept 1
account 1
accused 1
actions 1
admits 1
affair 1
after 6
agrees 1
air 1
all 2
allowing 1
almost 1
along 1
aloud 1
also 1
an 2
and 37
anger 1
any 2
apartment 1
appointments 1
are 1
around 1
as 8
asked 1
asks 2
assignment 1
at 10
attending 1
attracted 1
audio 1
auschwitz 4
away 1
barely 1
basis 1
bathe 1
bathing 1
battling 1
be 2
bearable 1
becomes 1
been 4
before 2
begin 1
begins 5
being 2
believes 1
berg 2
betray 1
between 1
bombed 1
book 3
books 3
borowski 1
borrowing 1
both 1
boy 1
brief 1
briefly 1
bring 1
but 4
by 9
caddy 2
camp 2
camps 1
can 1
cannot 1
care 1
carried 1
catches 1
caused 1
cellar 1
chambers 1
character 1
charity 1
chekhov 1
child 2
childlike 1
children 1
chooses 2
chronicled 1
church 2
city 2
classical 1
cleans 1
closeness 1
coal 2
coaster 1
cold 1
combating 1
come 2
commits 1
communicating 1
complex 1
conductor 2
conflict 1
consider 1
convey 1
convicted 1
correspondence 1
costshe 1
country 1
covered 1
creates 1
crimes 1
criminal 1
crush 1
cutting 1
damage 1
daughter 4
day 1
days 2
dead 1
death 3
decides 1
defendants 1
denies 1
denying 1
departure 1
despite 2
develop 1
did 2
die 1
different 1
difficulties 1
disappointment 1
discovered 1
distance 1
distant 2
divorced 2
do 1
does 2
dog 1
dominant 1
donate 1
dressed 1
during 3
dust 1
each 2
eagerly 1
easily 1
effect 1
elie 1
embarrassed 1
emigrated 1
emotionally 2
emotions 3
employment 1
end 1
entire 1
era 1
especially 1
evacuation 1
evidence 1
exacerbates 1
explains 1
express 1
expresses 1
family 2
father 2
feelings 1
feels 2
few 1
figures 1
finally 1
find 1
fire 3
first 5
fit 1
following 1
fond 1
for 11
formal 1
former 1
frequently 1
friend 1
friends 2
friendship 1
from 11
full 1
gas 1
generation 1
german 2
germany 1
getting 1
give 2
giving 1
grant 1
grave 1
group 2
growing 1
guard 1
guards 2
guidebooks 1
guilty 2
had 10
handwriting 1
hangs 1
hanna 24
has 5
have 3
having 3
he 30
heartbroken 1
heated 1
hegel 1
help 1
hepatitis 1
her 31
herself 1
hesitation 1
hiking 1
him 15
himself 2
his 26
histories 1
history 2
holocaust 2
home 2
horrified 1
i 2
ill 1
illiteracy 1
illiterate 2
in 32
incident 1
into 1
is 29
it 5
jewish 4
job 1
julia 1
kant 1
kept 1
lady 1
last 1
later 3
law 1
learns 1
leaves 1
lecture 1
left 2
legal 1
levi 1
library 1
life 4
like 2
literature 1
lives 1
locked 1
loss 1
lost 1
loved 1
main 2
make 2
many 3
march 2
marriage 2
me 1
meets 1
mementos 1
memories 1
memory 1
michael 27
middleaged 1
money 2
months 2
more 2
mother 2
mystified 1
name 1
narrating 1
nazi 1
near 1
neither 1
neustadt 1
new 2
next 1
nonetheless 1
nor 1
not 4
notices 1
observing 1
occupied 1
odyssey 1
of 30
old 1
on 7
one 3
only 2
or 2
order 1
ostensible 1
other 4
otherwise 1
over 1
own 1
pampering 1
panic 2
part 3
parts 2
passed 1
past 1
people 1
period 1
person 1
philosophy 1
physical 1
physically 1
place 2
poland 1
portrayed 1
position 1
primo 1
prison 4
probably 1
professor 1
prominent 1
promotion 1
prosecution 1
protection 1
proving 1
psychoanalyst 1
read 3
reading 1
readings 1
realization 1
realizes 2
really 1
reawakens 1
recent 1
refusal 1
refuses 2
regular 1
relationship 6
relationships 1
release 1
released 1
remain 1
remorseless 1
removed 1
reply 1
requires 1
researcher 1
responsibility 2
retelling 1
retrieve 1
returning 1
returns 2
reveal 3
reveals 1
revisited 1
ritual 1
roller 1
runs 1
safely 1
same 1
sample 1
satellite 1
savings 1
saying 1
schmitz 2
school 4
secret 3
seduces 1
see 3
seem 1
seen 1
sees 3
send 1
sending 2
sent 1
sentenced 1
served 1
seven 1
sex 1
she 28
short 2
should 1
siblings 1
sickly 1
since 1
so 2
something 3
somewhat 1
sophie 2
specializes 1
spending 1
spends 1
spinoza 1
ss 2
states 1
stay 1
stiff 1
still 1
stolen 1
story 3
struggles 1
students 1
stunned 1
such 2
suddenly 1
suffering 1
suicide 1
supervising 2
support 1
survivor 1
survivors 2
tadeusz 1
taints 1
take 2
takes 2
tapes 2
taping 1
tea 1
teach 1
tells 3
terms 2
terrible 1
text 1
thank 1
that 9
the 65
their 5
them 4
then 2
these 1
they 4
this 2
three 3
time 6
times 1
to 48
told 1
took 1
towards 1
trace 1
tram 2
transpires 1
travels 1
trial 4
tried 1
trying 1
under 1
understands 1
united 1
unspoken 1
up 1
us 1
using 1
verbally 1
very 1
visit 1
visiting 1
visits 3
wanted 1
war 2
warden 2
was 4
watches 1
watching 1
way 2
weak 1
were 1
west 1
when 7
which 4
while 3
who 8
whom 1
wiesel 1
willingness 1
winter 1
wish 1
with 15
without 2
witness 2
woman 4
women 5
working 1
would 3
write 1
writes 1
writing 2
written 1
wrote 2
years 3
york 2
youthful 1
