3992900
/m/0bbhpj
/m/0bbhpj
Alistair MacLean
1962
16 1
a 10
after 2
agent 2
agents 1
aircraft 1
all 1
allowing 1
an 3
and 19
anglia 1
antagonists 1
any 1
apparently 1
are 1
area 1
army 1
around 1
as 1
associated 1
at 3
attempts 1
banks 1
be 2
been 4
being 1
blackmail 2
board 1
both 1
botulinum 3
botulism 1
branch 1
breaches 1
break 1
bribe 1
british 1
bug 4
by 5
called 1
capture 1
cause 1
cavell 9
city 2
coerced 1
colleagues 1
come 1
constable 1
convulsions 1
country 1
criminal 1
culmination 1
current 1
cyanidelaced 1
death 1
deception 1
derivative 1
destroy 1
dies 1
director 1
discover 1
district 1
down 1
dramatic 1
during 1
earth 1
east 1
embittered 1
emerges 1
en 1
ensure 1
environmentalist 1
escape 1
escapes 1
establishment 1
evacuated 2
explains 1
fact 1
failure 1
fatherinlaw 1
fight 1
figure 1
financial 1
fired 1
firstperson 1
for 6
former 1
from 4
gang 1
general 2
germ 1
given 1
government 1
gradually 1
ground 1
has 2
have 2
he 3
head 1
helicopter 1
help 1
him 1
his 5
honest 1
hostage 2
human 1
hundreds 1
identity 2
in 3
indestructible 1
infectious 1
infers 1
initially 1
insider 1
insubordination 1
intelligence 1
interpol 1
into 1
investigating 1
involves 1
is 10
it 2
itself 1
jumps 1
kidnapping 1
kill 1
killed 1
killing 1
knowing 1
laboratoryconceived 1
layers 1
least 1
leaving 1
life 1
like 2
livestock 1
london 3
losing 1
maclean 1
mad 1
major 1
mary 1
metropolitan 1
microbiological 1
mordon 4
motives 1
narrator 1
nerve 1
no 1
nominal 1
novel 1
of 16
off 1
officers 1
on 2
one 1
or 2
other 1
over 1
paralysis 1
past 1
phials 2
pierre 1
plan 1
plot 1
poisoned 1
poisoning 1
police 2
poliovirus 1
population 1
porton 1
power 1
presented 1
presumably 1
principal 1
proving 1
purposes 1
rapidly 2
rather 1
razed 1
reader 1
really 1
release 2
releases 1
remaining 1
research 1
respiratory 1
reveals 1
revolves 1
rob 1
route 1
satan 4
scientists 1
security 2
senior 1
series 1
seriously 1
sets 1
several 2
should 1
similar 1
slower 1
so 1
special 1
staff 1
still 1
story 1
strychnine 1
successively 1
support 1
suspicion 1
sweet 1
taken 1
takes 1
tested 1
than 1
that 8
the 34
theft 2
thefts 1
them 2
then 1
there 1
these 2
this 1
though 1
threat 1
threatening 1
threatens 1
time 1
to 16
toxin 3
true 1
trusted 1
two 1
unbreached 1
under 1
unless 1
unstoppable 1
use 1
uses 2
usually 1
vaccine 1
variety 1
villain 6
warfare 1
who 1
wife 1
will 1
with 5
without 1
working 1
works 1
year 1
years 1
