11553774
/m/02rhy1x
/m/02rhy1x
Carolyn Keene

{"/m/03mfnf": "Young adult literature"}
a 4
after 1
also 2
among 1
and 4
arizona 1
arrested 1
as 1
at 2
attacks 1
back 1
baron 1
behind 1
belonging 1
border 1
boulder 1
bribery 1
brother 1
but 1
by 1
cactus 1
come 1
corruption 1
cory 2
country 1
crossing 1
death 1
decides 1
directed 1
dispute 1
drew 1
entrants 1
expose 1
family 1
for 3
frank 1
friend 1
from 2
george 1
gradually 1
greed 1
hardy 1
hardys 1
has 1
have 1
he 1
head 1
help 1
her 2
him 1
his 6
humada 1
in 5
indian 1
is 4
it 1
joe 1
killed 1
late 1
life 1
logging 1
lumber 1
madre 1
marathon 2
may 1
meanwhile 1
mexico 2
mills 1
murder 1
nancy 3
nearly 1
of 3
paid 1
path 1
people 1
possibly 1
powerful 1
price 1
ran 1
ranch 1
received 1
run 1
running 2
safely 1
see 1
several 1
side 1
sierra 1
soon 1
southern 1
sprawling 1
stretching 1
tangle 1
tarahumara 1
tasio 3
the 13
threats 2
thrown 1
tied 1
to 7
too 1
truth 1
tucson 1
unfolds 1
was 1
watch 1
were 1
weston 1
while 1
who 3
with 1
