31634452
/m/0gmbvj3
/m/0gmbvj3
Virginia DeMarce
2009-12-01
1633 1
a 5
abbot 6
abducted 1
abducting 1
abide 1
abiding 1
accept 1
actions 1
administrator 1
administrators 2
affairs 1
against 1
all 1
allowed 1
along 1
also 1
an 1
and 14
army 1
arrange 1
as 2
asking 1
attempts 1
authority 1
bachmeierin 1
band 1
barracktown 1
be 2
been 1
began 1
bernard 1
bernhard 2
between 1
bodamer 1
bonn 1
brahe 1
brother 1
brothers 2
but 2
by 4
captain 1
catholic 1
children 1
clara 1
coc 1
collect 2
colonels 1
committee 1
complete 1
conspirators 1
correspondence 2
courier 2
decide 1
decided 1
delivers 1
derek 1
determine 1
difficult 1
dissatisfied 1
doctrines 1
duke 1
during 1
eberhard 1
end 1
even 1
examines 1
face 1
fellow 1
first 1
flyers 1
focus 1
follows 1
for 1
four 1
fourth 1
frankfurt 1
from 1
fulda 7
gall 1
gelnhausen 1
general 1
give 1
grantville 1
had 1
happy 1
hasnt 1
have 2
he 9
helmut 1
her 2
herke 1
him 1
hiring 1
his 12
hopes 1
households 1
imperial 1
import 1
in 9
initially 1
interlinking 1
interplay 1
into 1
irish 2
is 5
jenkins 2
johann 1
keeps 1
later 1
learns 1
led 1
leslie 1
liesel 1
local 1
locations 1
mail 1
main 1
maintains 1
mainz 1
major 1
make 1
makes 1
married 3
martin 5
members 1
mercenaries 1
monks 3
moreover 1
mother 3
near 2
new 2
niece 1
not 1
novel 1
now 2
nus 3
observe 1
of 13
on 2
operation 1
or 1
order 1
other 2
over 3
packages 1
persuade 1
place 1
plans 1
post 1
prince 1
private 2
regular 1
reluctant 1
return 1
road 1
route 3
rules 2
saint 1
schenk 1
schweinsberg 2
scurrilous 1
secular 1
see 1
sends 1
sent 1
separate 1
sergeant 1
setting 1
several 1
she 1
side 1
small 2
soldiers 2
states 1
stop 1
stories 1
story 4
stretching 1
surprises 1
swedish 1
takes 3
taxes 1
tell 1
that 1
the 34
them 1
then 3
these 1
they 1
three 1
ties 1
tithes 1
title 1
to 20
together 1
town 1
travels 1
tridentine 1
trips 1
united 1
unknown 1
unsettle 1
up 1
utt 2
visits 1
von 2
wackernagel 2
walter 1
wanderer 1
wes 2
when 1
whereabouts 1
which 2
who 2
wife 2
will 4
with 3
wives 1
woman 1
won 1
working 1
