4608269
/m/0ccd6p
/m/0ccd6p
Stanisław Lem
1961
{"/m/06n90": "Science Fiction", "/m/026ny": "Dystopia"}
10 1
127 1
a 7
accidents 1
adventures 1
adventurism 1
after 1
again 2
aggressive 1
agree 1
alien 1
alienated 1
all 3
almost 1
an 2
and 11
another 1
anticlines 1
approach 1
arcturus 1
are 4
as 3
astronaut 2
astronauts 1
at 1
back 1
betrization 2
bregg 1
but 2
called 1
can 1
cannot 1
canyon 1
care 1
centuries 1
chance 1
changed 1
choice 1
come 1
comes 1
comfortable 1
completely 1
content 1
crew 1
culture 1
dangerous 1
designed 1
dilation 1
disapproving 1
due 1
earth 5
effects 1
eri 1
even 2
expeditions 1
experience 1
exploration 1
extreme 1
faces 1
familiar 1
finds 1
floating 1
folds 1
fomalhaut 1
for 5
former 1
free 1
geological 1
girl 1
gold 1
hal 6
has 1
have 2
having 1
he 7
her 1
him 1
his 3
home 1
hope 1
however 1
humans 1
impulses 1
in 5
into 1
is 6
it 2
kereneia 1
killed 1
lasted 1
learns 1
leave 2
life 1
local 1
longer 1
love 2
made 1
magnificent 1
man 2
marries 1
means 1
members 1
mission 3
mistrust 1
mistrusts 1
moon 1
more 1
neanderthals 1
neutralizes 1
new 1
no 1
not 1
nothing 1
novel 1
of 6
on 1
once 1
only 1
opinion 1
or 2
original 1
other 2
others 1
outcasts 1
particular 1
past 1
peaceful 1
pink 1
planet 1
planning 1
polish 1
pressure 1
procedure 2
quiet 1
recalls 1
red 1
remembers 1
resuscitated 1
returning 1
returns 1
riskaversion 1
safe 1
sagittarius 1
see 2
seeing 1
seeming 1
seems 1
seen 1
several 1
shock 1
side 1
sights 1
smile 1
social 1
society 2
space 3
stars 1
still 1
story 1
strata 1
subject 1
such 1
synclines 1
tells 1
that 4
the 15
themselves 1
they 3
this 4
through 1
time 2
to 14
too 2
trades 1
transformed 1
transparent 1
travel 1
undergone 1
undertake 1
utopia 1
version 1
viewed 1
violence 1
wars 1
way 1
weightless 1
when 1
who 1
with 2
world 2
wrong 1
year 1
years 1
yet 1
you 2
youth 1
youthful 1
