2472412
/m/07gdyj
/m/07gdyj
William Gibson
1999-10-07
{"/m/01qpc": "Cyberpunk", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/026ny": "Dystopia", "/m/0c082": "Utopian and dystopian fiction"}
5sb 2
a 16
ability 1
accompanied 1
acquires 1
administered 1
albeit 1
aligns 1
also 2
although 1
an 1
analyst 1
and 4
appearance 1
appears 1
as 6
at 1
atrophied 1
attached 1
attention 1
australian 1
baron 1
bay 1
be 1
become 2
before 1
believes 1
berry 1
book 1
box 1
bridge 3
but 2
by 3
cardboard 1
causes 1
certain 1
characters 1
chevette 1
child 1
cody 1
colin 1
communities 1
community 1
computer 1
concerns 1
congeal 1
consequences 1
convenience 1
convergence 1
courier 1
crucial 1
damaged 1
data 1
deficit 1
directed 1
discern 1
disorder 1
documentary 1
dragon 1
drug 1
effect 1
employed 1
enclave 1
end 1
energy 1
errands 1
escapes 1
exbicycle 1
exboyfriend 1
faculty 1
features 1
film 1
find 1
firm 1
first 1
flow 1
follows 1
for 3
foresees 1
form 1
former 2
francisco 2
franciscooakland 1
from 6
functions 1
gains 1
guard 1
guise 1
hacker 1
had 1
harwood 5
harwoodlevine 1
has 2
he 6
her 3
him 1
hires 1
his 6
historical 2
home 1
ideal 1
idoru 1
in 7
information 1
interstitial 1
is 3
it 1
job 1
know 1
knowledge 1
knows 1
konrad 3
laney 6
lefthanded 1
life 1
light 2
liking 1
lives 1
location 1
lucky 1
makes 1
may 1
media 3
mercenary 1
messenger 1
motives 1
movements 1
mysterious 1
named 1
nervous 1
net 1
netrunner 1
next 1
nodal 2
obsessed 1
of 16
on 2
or 1
overarching 1
overlapping 1
own 1
particular 1
past 1
path 1
personalities 1
pharmaceutical 1
philosophy 1
point 1
points 1
powerful 1
precede 1
predictive 1
predicts 1
protagonist 2
public 1
quits 1
refuge 1
relations 1
rentacop 1
repeated 1
resolution 1
result 2
revisit 1
role 1
run 2
rydell 3
san 3
sciences 1
searching 1
second 1
security 1
separate 1
setting 1
shape 1
shared 2
she 2
shift 2
shinjuku 1
side 1
spends 1
spontaneous 1
stop 1
store 1
stories 1
story 3
strong 1
student 1
subject 1
subway 2
suffers 1
surfing 1
system 1
taken 1
tao 1
taoist 1
temporary 1
tessa 1
that 2
the 30
their 1
third 1
this 4
three 1
to 14
tokyo 1
traces 1
travel 1
trials 1
trilogy 1
try 1
under 1
undifferentiated 1
universal 1
user 1
virtual 2
visits 1
voluntarily 1
was 1
washington 1
we 1
where 1
which 2
who 4
will 2
with 4
world 1
