22236960
/m/05q4s86
/m/05q4s86
David Lindsay

{"/m/01hmnh": "Fantasy"}
a 5
able 1
an 1
ancient 1
and 3
ann 1
appears 1
are 2
as 1
aunt 1
behind 1
but 1
by 1
can 1
chooses 1
court 1
culminates 1
death 1
develop 1
discovers 1
disturbing 1
doors 2
downlands 1
engaged 1
exist 1
existence 1
express 1
few 1
find 1
from 1
has 1
henry 1
her 1
home 1
in 4
insights 1
isabel 3
judge 3
leads 2
leave 1
lie 1
loment 1
marshall 2
might 1
moor 1
mysterious 1
mystery 1
new 2
of 5
one 1
only 1
onto 1
opens 1
ordinary 1
other 1
owned 1
parallel 1
part 1
peripatetic 1
recall 1
reencounters 1
relationship 1
remains 1
room 3
runhill 1
rupture 1
see 1
she 2
staircase 1
stokes 1
strange 1
sussex 1
take 1
that 1
the 9
their 1
them 1
themselves 1
there 3
they 3
three 1
time 1
to 7
transpired 1
travels 1
ultimately 1
unable 1
unexceptional 1
upwards 1
ward 1
ways 1
what 2
when 1
which 3
