3865265
/m/0b3_cz
/m/0b3_cz
François Augiéras
1964
35yearold 1
a 5
abuse 1
abuses 1
accepts 1
activity 1
adolescent 2
affection 1
an 1
and 6
beautiful 1
becomes 1
boy 6
but 2
by 1
coercive 1
control 1
disturbing 1
dordogne 1
exerts 1
experiences 1
falls 1
france 1
genuine 1
harmful 1
having 1
he 2
him 1
himself 1
his 2
in 3
is 5
live 1
love 2
meeting 1
mentor 1
more 1
much 1
novel 1
of 3
one 1
other 1
over 1
physically 1
powerful 1
predator 1
priest 2
punishment 1
rather 1
region 1
relationship 1
sarladais 1
secret 1
sent 1
set 1
sex 1
sexual 1
sexually 2
slightly 1
spiritual 1
story 1
subjected 1
tale 1
teacher 1
than 2
the 10
this 2
to 2
very 1
violent 1
who 1
willingly 1
with 3
younger 1
