6529532
/m/0g91qw
/m/0g91qw
Jeanne Birdsall
2005-06
10 1
11 1
12 1
4 1
a 4
after 1
ages 1
and 4
arundel 1
batty 2
beautiful 1
before 1
befriend 1
berkshire 1
born 1
cancer 1
comprises 1
cottage 1
daughters 1
died 1
dog 1
elizabeth 1
estate 1
family 2
features 1
few 1
four 2
have 1
his 1
hound 1
in 1
including 1
jane 1
jeffrey 1
martin 1
massachusetts 1
mother 1
mountains 1
mrs 1
musically 1
neglected 1
of 3
on 2
overbearing 1
owner 1
penderwick 3
rented 1
rosalind 1
sisters 1
skye 1
son 1
story 1
strict 1
summer 1
tale 1
talented 1
the 9
their 1
there 1
they 1
threeweek 1
tifton 1
vacation 1
was 1
weeks 1
where 1
years 1
