3989594
/m/0bbb1q
/m/0bbb1q
Jeff Mariotte
2003-08-01
a 8
after 1
all 2
an 1
and 3
angel 6
are 1
arrives 1
at 1
attempted 2
baby 1
be 4
become 2
being 2
body 1
but 3
by 2
chance 1
chaz 3
claws 1
contact 1
cordelia 1
cure 1
darla 2
despite 1
didnt 1
distant 1
disturbed 1
escaped 1
escobar 1
especially 1
faith 3
fall 1
features 1
feed 1
flashback 1
fled 1
for 1
from 2
game 1
goal 1
good 1
had 2
harassing 1
has 1
have 1
he 3
her 2
him 2
himself 1
his 4
hoped 1
horror 1
however 1
hunted 1
hunter 1
in 1
innocent 1
into 1
investigations 1
is 2
island 2
it 1
jail 1
looking 1
make 1
making 1
man 1
marianna 2
may 2
might 1
monster 1
noting 1
novel 1
of 4
off 1
on 2
out 1
person 1
potential 1
powers 1
prison 1
prove 1
realises 1
refused 1
remove 1
rid 1
right 1
save 1
see 1
seems 1
sensing 1
separated 1
shaken 1
she 5
shortly 1
small 1
soon 1
sorcerer 1
soul 2
status 1
supernatural 1
team 1
thanks 1
that 3
the 7
thinks 1
this 2
to 14
used 1
vampire 2
vampires 1
vampirism 1
vision 1
visions 1
want 1
when 2
wife 1
with 1
world 1
wrongs 1
