21936778
/m/05p89by
/m/05p89by
Rose Tremain
2003
{"/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction"}
1860s 1
a 2
abandons 1
about 1
accommodation 1
add 1
after 2
albert 1
also 1
and 7
are 1
become 1
been 1
befriended 1
blackstone 1
boat 2
bringing 1
brings 1
build 1
built 1
but 1
by 2
chance 1
changes 1
chinese 1
christchurch 2
coast 2
cob 1
colour 1
conditions 1
couple 1
creek 1
death 1
delivers 1
difficult 1
distant 1
dynamics 1
emigration 1
encounters 1
england 2
events 1
farm 3
find 1
finding 1
first 1
flavour 1
foothills 1
for 1
from 1
gardener 1
goes 1
gold 3
guilt 1
harriet 4
harsh 1
has 2
have 1
he 1
hokitika 2
house 2
immigrants 1
impact 1
in 5
into 2
island 2
it 1
joseph 9
lilian 2
lives 1
major 1
man 1
met 1
mother 1
near 1
nearby 1
new 2
news 1
not 1
occurred 1
of 6
off 1
okuku 1
on 6
once 1
pao 1
prior 1
problems 1
relationship 1
returns 1
river 1
search 1
searching 1
sefton 1
separation 1
set 1
settling 1
situation 1
south 2
ss 1
start 1
strained 1
strikes 1
surrounding 1
telling 1
that 1
the 21
their 5
them 2
this 1
threaten 1
three 1
to 10
travels 3
two 1
viability 1
west 2
where 1
which 2
whom 1
will 1
winter 1
with 2
women 1
yi 1
young 1
zealand 1
