7164050
/m/0h7mtw
/m/0h7mtw
Dow Mossman
1972
1 2
100 1
2 1
5 1
a 33
abigail 4
about 2
abuse 1
accidents 1
activities 1
acts 1
additionally 1
adulthood 1
advice 1
affirmation 1
after 10
alcohol 1
all 1
allfours 1
already 2
also 1
an 5
ancestors 1
ancestral 1
and 48
another 1
antagonistic 1
apparently 1
are 6
art 1
arthur 12
as 5
asked 1
at 4
attacker 1
attacks 1
away 3
awkward 1
axe 1
back 1
barber 1
be 2
beats 2
becky 1
before 3
befriends 1
behavior 2
being 1
below 1
best 2
bet 1
bible 1
birthday 1
blowing 1
board 1
bond 1
book 1
borders 1
borrow 1
both 1
boy 3
boys 3
breathing 1
breeder 1
brimming 1
building 1
built 1
but 2
by 5
cake 1
can 1
car 2
carnival 1
causing 1
cedar 2
chased 1
chastise 1
chastised 1
chicken 1
chickens 1
childhood 1
chronicles 1
city 3
climactic 1
coffins 1
college 1
comes 1
comments 1
compounds 1
condemns 1
confused 1
consistent 1
conversations 1
convertible 1
convinces 1
crashes 1
croquet 2
crown 3
cruel 1
cruising 1
cry 1
cryptic 2
cue 1
dawes 49
decides 1
decrepit 1
defense 1
defunct 1
demands 1
demonstrates 1
depressed 1
describes 1
despite 3
destroys 2
deteriorated 1
devotion 1
dinner 1
discussion 1
disorderly 1
distances 1
disturbing 1
divided 1
dogs 1
doomed 1
doors 1
dow 1
drink 1
drunk 1
dunker 2
during 1
dynamite 1
each 1
eddie 2
edge 1
elaborate 1
empire 1
empty 1
emulates 1
encounter 1
end 3
ends 1
engage 1
enjoyed 1
entire 1
errands 2
escapades 1
escaping 1
especially 2
evade 1
even 1
eventually 1
exact 1
experiences 2
experimenting 1
explosion 1
extent 1
extreme 1
fabrications 1
fairly 1
family 4
farfetched 1
farm 2
farmer 2
father 1
fed 1
feels 1
feet 1
fight 1
final 1
finally 3
finds 1
fire 1
fistfights 1
flees 1
floor 1
follows 4
for 8
forth 1
four 1
frequently 1
friend 2
friendly 1
friends 4
from 4
fury 1
garage 1
get 2
gets 1
getting 1
girlfriend 1
girlfriends 1
girls 1
grade 1
grandfather 3
grandparents 1
grandson 2
great 3
greyhound 1
guts 1
had 3
haircut 3
handle 1
hangout 1
harsh 1
has 4
have 1
he 11
head 1
health 2
hearing 1
heavily 1
her 2
hiding 1
him 6
his 24
history 1
hit 1
hometown 1
hospital 1
house 3
however 2
humanity 1
idolizes 1
illustrate 1
in 22
inconsolable 1
institution 1
interest 1
into 5
involve 1
iowa 3
is 16
it 4
itself 1
jumping 1
jumps 1
kicks 1
killed 1
kindred 1
last 1
later 1
learns 1
leaves 4
leaving 1
leone 5
letch 1
life 2
literate 1
longdistance 1
loss 2
lost 1
made 1
man 2
many 1
maternal 1
meanspiritedly 1
mental 3
mexican 1
mexico 3
mind 1
miraculously 1
mix 1
moment 1
more 1
morning 1
mostly 1
much 1
near 1
nearby 2
neighbor 1
night 1
nightly 1
nonetheless 1
now 1
obnoxious 1
odd 1
of 18
often 3
old 2
oldham 1
on 7
once 1
onceprosperous 1
one 2
only 1
or 2
other 1
others 1
out 1
outofcontrol 1
outside 1
over 1
own 1
painful 2
parents 3
part 1
passed 1
patient 1
pay 1
peep 1
peppered 1
picaresque 1
play 1
pleas 1
ploy 1
police 2
pool 2
poor 1
profane 1
punishment 1
quantities 1
quick 1
rapids 2
rationality 1
ravine 1
readings 1
reason 1
rebelliousness 1
refuses 1
refusing 1
relating 1
relationship 1
reliability 1
remnant 1
request 1
result 1
return 1
returns 1
revealed 2
revenge 2
ridicule 1
ridicules 1
road 1
romance 1
ronnie 1
ruined 1
running 2
runs 1
sarcasm 1
sarcastic 1
schizophrenicallyconstructed 1
school 3
section 9
sections 1
see 1
seems 2
sends 1
seriously 1
set 1
severely 1
sex 1
sexual 1
shaved 1
she 2
shotgun 1
show 1
simpson 3
since 1
sirens 1
slays 1
sleeping 1
some 1
sometimes 1
somewhat 1
speeding 1
spending 1
spirit 1
stick 1
stints 1
stones 3
strange 1
strangers 1
strikes 1
success 1
such 1
summer 6
surprised 2
survives 1
table 1
tactics 1
takes 2
tantrum 1
teach 1
teenage 2
tells 1
ten 1
terrible 1
that 6
thatcher 1
the 48
their 4
them 1
theme 1
there 1
they 1
this 6
though 1
three 5
through 1
throughout 3
time 1
to 22
town 2
travis 2
tricks 1
tried 1
tries 1
trip 1
truth 1
two 1
understand 1
undertones 1
up 5
upon 1
urinate 1
urinating 2
vacation 2
verbal 1
very 1
visit 5
vitriol 1
wall 1
waning 1
warming 1
watch 1
well 2
when 4
where 1
whether 2
which 1
while 2
who 2
whom 1
whose 1
williams 3
winas 6
winds 1
with 21
within 1
woman 1
woods 1
worried 1
writings 1
years 2
young 1
