24795228
/m/0807w89
/m/0807w89
Vince Flynn
2004-05
1800 1
a 9
abandon 1
action 1
afghanistan 1
after 2
alqaeda 2
alyamani 2
an 1
and 5
around 1
arrives 1
as 1
assortment 2
back 1
base 1
believes 1
bomb 1
book 1
but 1
by 3
cabinet 1
canadian 1
celebrations 1
characters 1
charleston 1
climbers 1
commando 1
components 1
congratulates 1
converging 1
convinced 1
country 1
created 1
daring 1
day 1
dc 1
desk 1
detonate 1
disarm 1
done 1
during 2
duty 1
enough 1
everyone 1
fan 1
feverish 1
field 1
flynn 2
following 1
for 1
force 1
formulaic 1
freighter 1
growing 1
has 1
having 1
hayes 1
he 1
his 2
ice 1
in 5
including 1
insubordination 1
intercept 1
into 1
invectivespewing 1
is 2
isnt 1
it 3
job 1
keep 2
leader 1
libraries 1
long 1
loose 1
manages 1
members 1
memorial 1
moments 1
more 1
mustafa 1
notches 1
nuke 3
of 3
on 4
out 1
over 1
overlook 1
panic 1
particularly 1
plans 1
plot 1
plots 1
political 1
president 1
pursuer 1
queens 1
raid 1
rapp 3
robert 1
ruthless 1
sc 1
scent 1
second 1
selected 1
series 1
several 1
sex 1
shows 1
skillful 1
smuggled 1
stalwart 1
stint 1
strike 1
stronghold 1
temperament 1
tensewishywashy 1
terrorist 1
terrorists 1
than 1
that 1
the 9
themselves 1
this 1
time 1
to 5
training 1
trots 1
turns 1
unearths 1
up 1
us 2
use 2
usual 1
washington 1
weapon 1
well 1
who 1
willing 1
with 1
worldcat 1
yet 1
