11729694
/m/02rqbs2
/m/02rqbs2
Jennifer Rowe
2001
a 18
about 2
actually 1
after 4
aided 1
akbaba 1
all 1
ambushed 1
amiss 1
an 4
and 17
anyway 1
apple 2
are 7
arrive 1
arrives 1
as 2
at 2
attempt 3
audience 1
barda 4
be 1
beast 1
beat 2
because 1
bee 2
bees 2
before 1
belongings 1
belt 1
benefitting 1
better 2
bird 7
borrow 1
brightly 3
broad 1
but 5
by 7
called 4
can 2
center 1
chased 1
cheating 1
city 1
climbs 1
cloak 1
coin 3
coins 4
comes 1
competition 2
continues 1
controlling 1
crowd 1
dangerous 1
deadly 1
decide 2
decided 1
deltora 1
despite 1
discover 1
dive 1
doom 2
dread 1
eat 1
eaten 2
eccentric 1
enter 4
enters 1
entrance 1
escape 1
fact 2
fallen 1
farm 1
fee 1
fighting 1
fights 1
figurine 1
finally 1
first 1
fish 1
fits 1
flees 1
foot 1
for 4
fragile 1
from 6
full 1
game 1
games 4
gem 1
go 1
gold 1
grey 2
guards 3
has 1
have 2
he 1
hear 1
hearing 1
helps 1
her 2
hide 3
hides 1
hive 3
hole 1
host 1
however 1
hungry 1
if 2
in 7
insectile 1
intelligent 1
into 2
is 9
it 5
jasmine 5
just 1
keep 1
known 1
kree 2
lands 2
lapis 1
last 1
later 1
lazuli 1
leave 1
leaving 1
left 1
let 1
lief 8
locked 1
make 1
man 1
manages 1
matches 1
meet 1
money 3
monster 1
mother 3
mountain 1
named 1
next 1
night 1
no 1
not 1
number 2
of 14
off 3
old 2
on 5
once 1
one 2
only 1
operator 3
orchard 1
order 1
out 1
owned 1
paid 2
pass 1
passageway 1
passed 1
pedal 1
piling 1
place 2
prize 2
promptly 1
pulls 1
queen 2
quest 1
rather 1
rats 1
reach 2
receives 1
replaces 1
returned 1
revealed 1
reveals 2
rithmere 3
river 2
road 1
room 1
sand 2
sands 2
saves 1
saw 1
scandal 1
scarfaced 1
secret 1
sees 1
senses 1
shawl 1
she 2
sheet 2
shifting 2
shop 1
silver 3
sinking 1
sky 1
some 3
something 1
spin 2
spot 1
stable 1
started 1
starts 1
steal 1
stealing 1
structure 1
surprisingly 1
table 2
take 1
tells 1
terrible 1
that 10
the 65
their 4
them 3
then 3
there 2
they 17
thinking 1
thirty 2
this 1
thousand 1
threat 2
three 3
through 1
time 1
times 1
tired 1
to 18
tom 1
towards 1
town 1
travelling 1
treasures 2
trio 3
trying 1
turns 1
under 3
upon 1
use 3
voices 1
walls 1
was 2
way 1
well 1
whatsoever 1
wheel 5
when 3
which 2
while 1
who 2
win 2
with 2
woman 2
wooden 3
worthless 1
would 2
