11611575
/m/04091sh
/m/04091sh
Max Frisch

130s 1
136 1
157 1
a 7
abort 1
aborted 1
accepts 1
accompany 2
after 1
again 1
agrees 1
america 1
an 4
and 12
art 1
asks 3
at 2
athens 1
baghdad 1
be 1
beauty 1
because 1
become 1
before 1
behind 1
bites 1
brother 2
but 5
by 2
cancer 1
care 1
child 2
city 1
cliff 1
cruise 1
daughter 2
day 1
decides 3
departure 1
desert 1
dies 2
down 1
during 2
end 1
escape 1
europe 2
events 1
faber 15
falls 2
federal 1
finds 1
flight 1
following 1
for 1
forced 1
foreboding 1
friend 4
from 2
german 1
go 1
grave 1
greece 1
grief 1
had 1
hanged 1
hanna 9
has 3
he 9
heard 1
her 2
herbert 3
hesitates 1
him 1
himself 1
his 8
hopes 1
in 8
institute 1
is 4
it 2
ivy 1
joachim 4
journey 2
knowing 1
landing 1
leave 1
lives 1
looking 1
love 1
lovers 1
makes 1
male 1
manage 1
married 1
marry 1
meet 1
meets 4
mexico 1
missed 1
mistress 1
mother 1
name 1
never 1
new 2
not 1
now 1
oddysey 1
of 7
offer 1
on 5
one 1
out 2
paris 1
plane 1
plantation 2
poisonous 1
pregnant 1
proposes 1
reach 1
realizes 1
receives 1
recounts 1
redemption 1
relationship 1
returns 1
reveals 1
road 1
sabeth 7
she 4
since 1
snake 1
soon 1
split 1
spring 1
stay 2
still 1
stomach 1
stricken 1
student 1
swiss 1
take 1
takes 1
technology 1
that 3
the 15
their 4
they 1
this 1
through 2
to 14
traveling 1
travels 1
trip 1
turnes 1
turns 1
two 1
unesco 1
unplanned 1
up 2
vacation 1
visiting 1
walter 1
way 1
where 1
who 4
whom 1
wilderness 1
will 1
with 3
woman 1
work 1
works 1
york 2
young 1
zurich 1
