18400257
/m/04f0jmf
/m/04f0jmf
Danielle Steel
1994
15 1
40yearoldhappily 1
44 1
7 1
a 6
about 1
accident 1
after 2
afterwards 1
alexis 1
allison 1
allyson 7
an 2
and 23
andrew 2
applegate 1
are 1
arrive 2
arrives 1
as 1
at 4
attempted 1
awakens 1
away 1
back 1
been 2
before 2
beforehand 1
begin 1
begun 1
bjorn 1
both 2
boys 1
brad 7
bridge 1
broken 1
business 1
by 1
chapman 1
cheating 1
child 1
children 2
chloe 5
clarke 2
cleveland 1
coma 2
confessed 1
confesses 2
confronts 1
consult 1
crossing 1
cut 1
damage 1
daughter 1
demanding 1
did 2
died 1
dinner 2
disappearing 1
does 1
each 1
early 1
eventually 1
father 2
feelings 1
for 3
forces 1
four 1
fraccident 1
francisco 1
friend 1
from 2
gate 1
girls 1
go 1
goes 3
going 1
golden 1
had 2
has 4
have 3
he 3
head 1
her 10
him 3
hip 1
his 4
home 1
hospital 3
hour 1
house 2
husband 1
hutchinson 1
if 1
in 3
instead 1
is 8
jamie 2
join 1
killed 1
know 1
lake 2
later 2
laura 1
laze 1
leaves 1
leg 1
lives 1
maribelle 1
married 1
molested 1
months 1
mother 3
move 1
named 1
new 1
nick 1
night 2
not 3
old 3
older 1
on 2
one 3
only 1
other 1
out 2
outraged 1
page 8
pelvis 1
performed 1
phillip 2
plan 1
pregnant 1
pretends 1
rages 1
reach 1
remains 2
reports 1
roman 1
run 1
rushed 1
san 1
see 1
senator 1
sends 1
several 1
severe 1
shattered 1
she 9
sister 4
sixoclock 1
small 1
son 1
soon 3
starts 1
suffers 1
supposed 1
surgeries 1
surgery 2
survives 1
taken 1
teenagers 1
tells 1
that 6
the 11
their 3
them 1
then 1
they 2
thorensen 1
times 1
to 13
toward 1
trauma 1
trip 2
trygve 5
two 1
unable 1
unexpected 1
until 1
wedding 1
weekend 1
were 1
when 2
while 2
who 2
why 2
wife 1
with 6
woman 1
would 1
year 3
york 1
