15077790
/m/03hgskh
/m/03hgskh
David Brin
1986
{"/m/06n90": "Science Fiction"}
a 5
able 1
about 3
accompany 1
actions 2
actually 1
admission 1
after 5
against 2
agrees 1
aid 1
aiding 1
aliens 1
allied 2
allies 2
allow 1
allows 1
also 2
an 3
and 19
angers 1
answer 2
answers 1
are 3
argues 1
arrives 1
as 5
ask 1
asked 1
at 2
attack 3
attacks 1
attempt 1
banter 1
be 5
before 1
began 1
being 1
bombed 1
built 1
but 4
by 8
called 1
camps 3
captain 5
captive 1
captured 1
championed 1
child 1
chris 14
commando 1
concentration 1
conversation 1
convinces 1
could 1
created 1
custody 1
death 3
defeated 2
defeats 1
destination 2
destroy 1
did 1
dies 1
disappears 1
discussing 1
distract 1
does 3
doing 1
due 2
during 1
end 1
ended 1
ends 3
escorts 1
established 1
event 1
eventually 1
extermination 1
failed 1
father 2
first 1
follows 1
for 6
forces 3
from 1
fuel 1
gained 1
germany 1
get 2
give 1
given 1
god 1
gods 2
going 1
gotland 2
group 3
guards 1
has 1
have 2
he 12
heroes 1
him 3
his 9
history 1
holocaust 1
hope 1
hopes 1
hoping 1
how 4
however 1
human 1
ii 4
implies 1
in 8
informs 1
inmates 1
insisting 1
insulting 1
interrogated 2
interrogates 1
interrogating 1
interrogator 1
invited 1
is 5
it 1
itself 1
joins 1
just 1
know 1
lastditch 1
later 1
like 2
loki 10
magic 1
major 1
managing 1
marlowe 1
memory 2
mentions 1
mission 1
navy 1
nazi 6
nazis 2
necromancy 2
norse 7
not 4
notices 1
odin 2
of 12
older 1
oleary 3
one 2
operation 3
order 1
orders 1
originally 1
other 2
out 1
overcome 1
pantheon 4
part 1
partake 1
party 2
plan 1
possible 1
powers 1
prepare 1
previous 1
prisoner 1
purification 2
questions 3
racial 2
ragnarok 2
realizes 2
realizing 1
reasons 1
recalls 1
received 1
recollects 2
remained 1
resist 1
result 1
reveal 1
revealing 1
rise 1
sacrifices 1
saving 1
should 1
simply 1
sneak 1
so 1
soon 1
spear 1
starts 2
states 2
story 1
submarines 1
successfully 1
suddenly 1
superhuman 1
surface 1
survivors 1
taken 3
team 2
tell 2
tells 1
than 2
that 14
the 46
their 3
them 3
they 3
think 1
this 1
thor 8
three 1
through 1
to 26
told 1
traveling 1
tries 1
troops 3
turing 1
turn 1
united 2
until 1
up 4
upon 1
valhalla 2
verbal 1
waiting 1
war 6
was 3
way 2
were 5
what 1
whereabouts 1
which 1
while 2
who 2
will 3
wings 1
wished 1
with 3
world 4
would 2
young 1
