936381
/m/03rj_j
/m/03rj_j
Sarah Waters
1998
{"/m/02xlf": "Fiction"}
18yearold 1
a 21
acknowledge 1
act 2
activist 1
admit 1
affair 3
affections 1
afford 1
after 4
agrees 1
although 3
an 4
and 20
announce 1
are 1
as 6
asks 2
assists 1
astley 1
astonished 1
astonishment 1
at 3
away 1
back 1
be 2
become 1
becomes 1
bed 1
before 1
begin 2
begins 2
being 1
better 1
birth 1
boarder 2
boarding 2
brother 1
bruised 1
but 4
butler 1
by 6
can 3
cautiously 1
child 2
clients 1
closer 1
clothes 1
come 1
compromised 1
continue 1
continues 2
costumes 1
decides 1
deeply 2
desperately 1
diana 4
died 1
discovery 1
divulges 1
does 1
dressed 2
dresser 1
duo 1
during 3
early 1
easily 1
enamoured 1
enjoyingthat 1
enthusiastically 1
erodes 1
event 1
eventually 1
exposure 1
falters 1
family 3
famous 1
fans 1
feel 1
feels 1
fight 1
filthy 1
finally 1
find 2
finds 1
finest 1
finished 1
florence 10
for 8
forces 1
former 1
friends 1
friendship 1
from 1
funds 1
get 1
giving 1
gone 1
grow 1
grows 1
had 1
happiness 1
he 1
help 1
helping 1
her 17
herself 2
hired 1
holing 1
home 1
homesick 1
horrified 1
house 2
housekeeper 1
how 2
however 2
idea 1
impersonator 1
in 10
initially 2
insists 1
instantly 1
into 1
is 14
it 1
jealous 1
join 1
joins 1
jumps 1
keep 1
kent 1
kitty 13
know 2
learns 1
leaves 1
letting 1
licentious 1
live 1
lives 1
living 1
local 1
london 5
love 3
madness 1
male 3
man 3
manager 1
married 1
masher 1
meets 1
melancholy 1
memory 1
men 1
more 2
much 2
named 3
nan 22
nancy 1
near 1
needs 1
never 1
neville 1
not 1
noticed 1
now 2
object 1
of 5
once 1
only 2
onstage 1
opportunity 1
or 1
out 1
outing 1
over 1
own 1
oyster 1
partner 1
passes 1
past 1
perform 1
performing 1
performs 2
preparing 1
previous 1
pub 1
putting 1
quite 1
rally 1
ralph 4
reach 1
realises 1
realising 1
realisingand 1
recognised 1
relationship 3
renting 1
restaurant 1
return 1
returned 1
returns 1
role 1
run 1
same 1
season 1
secret 2
sex 1
shame 1
she 15
sheltered 1
shortly 1
simultaneously 1
sisterly 1
skills 1
so 2
socialist 2
solicited 1
speech 1
spotty 1
spying 1
state 1
stays 2
streets 3
stumbles 1
success 1
suggests 1
takes 1
tastes 1
than 1
that 6
the 18
theatre 1
theatrical 1
their 6
them 1
they 7
through 1
throws 1
time 1
to 22
together 1
took 1
true 1
truest 1
trying 1
turns 1
underwhelming 1
until 3
upcoming 1
use 1
walk 1
walter 2
wanders 1
was 2
wealthy 1
weeks 1
were 1
when 2
where 1
which 1
while 1
whitstable 1
who 3
widow 1
with 10
woman 1
women 1
working 1
workingclass 1
year 3
