358335
/m/01_4cr
/m/01_4cr
Jack London
1903
{"/m/0dwly": "Children's literature", "/m/03k9fj": "Adventure", "/m/08sdrw": "Adventure novel", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/02p0szs": "Historical fiction"}
100 1
1000 1
a 21
about 1
advice 1
after 4
against 1
ahead 1
along 1
an 1
and 32
answers 1
are 1
argument 1
as 5
assistant 1
at 2
avenge 1
back 1
be 1
beat 1
beaten 2
beats 1
becomes 1
been 1
begins 1
beloved 1
bernardscotch 1
bet 1
bought 1
breaking 1
breed 1
buck 18
but 2
by 8
california 1
call 1
camp 1
can 1
canada 1
carry 1
charles 1
clara 1
club 1
cold 1
collie 1
comes 1
comfortable 1
condition 1
confronts 1
continue 1
continues 1
control 1
crate 2
cross 1
crossing 1
cuts 1
danger 1
dangers 1
death 2
debt 1
defeat 1
develop 1
devoted 1
devotion 1
disgusted 1
displeasure 1
dog 7
dogs 5
down 1
drink 1
driver 1
during 2
dust 1
each 1
eat 1
end 1
eventually 2
exhausted 1
experience 1
experienced 1
explores 1
fall 1
falls 1
fight 1
find 1
follows 1
food 1
for 3
forest 1
franois 1
free 2
frenchcanadians 1
friends 1
from 4
frozen 1
gambling 1
gardener 1
ghost 1
given 1
gives 1
gold 3
ground 1
group 1
grows 1
hal 3
half 1
halfton 1
harassed 1
have 2
he 7
health 1
heavy 1
him 9
his 7
how 1
hunt 1
ice 1
ignore 1
in 10
indians 2
into 3
is 9
it 1
john 1
journey 2
judge 1
keeping 1
killed 2
kills 1
klondike 1
lead 1
leader 1
learns 1
leaves 1
legend 1
lie 1
life 1
little 1
lives 1
load 1
local 1
long 2
longer 1
love 1
mail 1
make 2
man 4
manuel 1
master 1
meet 1
melt 1
mercedes 1
miller 1
mourn 1
move 1
much 1
named 2
neglected 1
night 1
nights 1
no 1
northern 1
northland 1
nothing 1
notices 1
nurses 1
observing 1
of 14
on 4
one 2
opens 1
or 1
order 1
others 1
out 1
outdoorsman 1
overfeed 1
owner 1
pack 3
pair 1
pan 1
pay 1
perrault 1
pet 1
poorly 1
powerful 1
pulling 1
quarrelsome 1
quickly 1
recognizes 1
red 1
refuse 1
refuses 1
region 1
released 1
remarkable 1
respect 1
returns 2
rivalry 1
river 4
runs 1
santa 1
saves 1
scottish 1
search 1
seattle 1
sells 1
sensing 1
service 1
shipped 1
short 1
site 1
sled 5
snow 1
so 1
socialize 1
society 1
sold 2
some 1
spitz 3
spring 1
st 1
stampeders 1
starve 1
starving 1
steals 1
story 2
strength 1
struggle 1
such 1
supply 1
survival 1
survive 1
sweater 1
take 1
takes 1
taught 1
team 2
teammates 1
tells 1
that 3
the 57
their 2
them 1
then 3
they 6
this 1
thornton 12
three 1
timber 1
time 1
tired 1
tiresome 1
to 23
traces 1
train 1
travel 1
treated 1
treatment 1
trek 1
tries 1
trio 4
trip 1
trips 1
unmoving 1
valley 1
vicious 1
wagers 1
warned 1
warnings 1
warns 1
way 1
weakened 1
when 2
where 1
while 1
who 2
wild 1
wilderness 2
winning 1
wins 1
winter 1
with 3
wolf 2
woman 1
working 1
yards 1
year 1
yeehat 1
