22597068
/m/05z_90t
/m/05z_90t
Roland Barthes
1987
10 1
16 1
17 1
177 1
178 1
a 2
admits 1
adour 1
all 1
and 1
as 1
au 1
august 1
barthes 4
bayonne 1
been 1
ce 1
de 1
describes 1
details 1
diary 1
disappointing 1
du 1
escorts 1
essay 4
fashionable 1
first 3
for 1
fourth 1
france 1
from 1
have 1
he 1
him 1
his 1
holiday 1
in 9
incidents 1
is 1
issue 1
la 1
le 1
lhumanit 1
lumiere 1
male 1
may 1
men 1
morocco 1
of 2
on 1
palace 2
paris 2
pays 1
published 2
reflects 1
relationships 1
roland 2
second 1
september 1
sex 1
soir 1
soires 1
south 1
sudouest 1
the 6
theatrehouse 1
third 1
to 3
using 1
voguehommes 1
west 1
where 2
written 1
