11804870
/m/02rt3rf
/m/02rt3rf
Philippa Gregory
1987
200000 1
a 47
about 5
abuses 1
accident 1
accompanies 1
accompanying 1
acre 1
acts 1
actually 1
admire 1
afraid 2
after 5
again 1
against 2
age 1
agree 1
agreed 1
agrees 2
air 1
all 2
alleviate 1
allow 2
allure 1
almost 1
alone 3
also 3
although 1
ambiguous 1
an 7
and 91
anger 1
annexed 1
another 1
any 1
anything 1
are 5
aristocracy 1
arms 1
around 4
arrangement 1
arrives 1
art 1
as 19
asks 1
astride 1
asylum 2
at 10
attack 2
attempt 1
attempts 1
attends 1
attorney 1
attracted 1
attraction 1
aunt 1
away 5
baby 6
back 4
bankrupt 1
be 2
beat 1
beatrice 66
beautiful 2
because 2
become 2
becomes 2
becoming 2
been 4
befriends 1
begging 1
begin 1
begins 2
being 2
believe 3
believed 1
beloved 3
bends 1
best 1
betrayal 1
between 2
birth 2
blessing 1
blossoming 1
blubbering 1
book 2
both 2
bottle 2
boy 1
breaks 1
brings 1
brother 2
brutish 1
burn 1
burnt 1
but 17
by 15
calculatingly 1
called 1
calling 1
callous 1
calls 1
came 1
can 6
cannot 3
care 1
careless 1
cares 1
casting 1
catatonic 1
caught 1
celia 21
centred 1
century 1
challenging 1
change 2
changing 1
cheated 1
child 3
childhood 1
children 5
chokes 1
claim 1
class 1
come 2
comes 2
comforts 1
coming 1
committed 1
common 1
completely 4
complicated 1
concerning 1
confident 1
confides 1
confronts 1
consciousness 1
continue 1
contrast 1
convince 1
convinces 2
convincingly 1
corpse 1
corrupt 1
corruptive 1
costs 1
cottage 1
could 1
coup 1
coupling 1
courted 1
cousins 1
craven 1
creates 1
crime 1
crimes 1
crops 1
crouches 1
crushed 1
crying 1
culler 2
cutting 1
darkness 1
daughter 4
day 1
days 1
de 1
deal 1
death 2
deception 1
decides 4
deliberately 1
demonic 1
depravation 1
desire 1
desirous 1
despair 1
desperate 1
despised 1
despite 3
destroyed 1
destroys 3
determination 2
determined 1
devastated 1
develops 1
devoted 2
did 2
die 1
dies 3
directly 1
disarms 1
disconcerted 1
discover 1
discovers 6
disillusioned 1
distress 1
do 1
doctor 2
does 4
dominant 1
doubts 1
down 3
downs 1
dramatic 1
dreams 3
drink 1
drinking 1
drops 1
drowns 1
during 1
dying 1
early 1
ease 1
easily 1
eighteenth 1
eleven 1
embrace 1
emergency 1
emotional 1
en 1
enclose 1
enclosure 2
end 2
ends 2
enduring 1
england 1
enormity 1
enough 2
enraged 1
entail 1
entailed 1
epilogue 1
escaping 1
especially 1
estate 21
estranged 1
evening 1
events 1
ever 1
everlasting 1
every 1
everyone 2
everything 2
everyway 1
evil 1
exactly 1
excellent 1
fails 1
faints 1
falls 2
family 1
father 10
favourite 1
fear 1
feeling 1
figure 1
filled 1
finally 2
finds 2
finishes 1
firm 1
first 5
five 1
focused 1
for 15
forever 1
forget 1
formerly 1
fortune 3
four 2
france 1
free 1
freeing 1
from 11
gamekeeper 1
garden 1
get 1
girl 2
give 1
gives 2
giving 1
glowing 1
go 1
goes 2
gone 1
good 2
grace 1
grateful 1
graze 1
grow 1
guilt 1
had 1
hall 6
hand 2
hands 1
happening 2
happiness 1
happy 3
hard 1
harmony 1
harry 30
has 14
haunted 1
have 7
havering 1
he 18
heading 1
healthy 1
hear 1
heart 1
heirs 3
help 3
her 79
herself 3
him 31
hinting 1
his 27
holds 1
home 1
honeymoon 1
hope 1
horrible 1
horrifying 1
horror 2
horse 3
horsewoman 1
hourly 1
how 3
however 1
human 1
hurries 1
husband 1
i 2
idea 1
if 5
ignorant 1
image 1
immediately 2
in 37
incestuous 3
including 1
increasingly 1
indeed 1
indirectly 1
induce 1
indulged 1
influence 1
inherit 3
inheriting 1
initial 1
innocence 1
innocent 1
inside 1
instincts 1
intelligent 1
intended 1
