7325751
/m/025z7kn
/m/025z7kn
Bill Brittain
1983
{"/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
50 1
a 25
about 1
actually 1
adam 5
again 1
all 3
also 2
and 16
any 2
are 2
as 3
at 5
attention 1
back 1
be 4
become 3
been 1
being 1
blinn 3
boy 1
brochures 1
bull 1
but 4
buy 1
can 1
card 4
carnival 1
cat 1
causes 2
center 1
cents 1
child 1
children 1
class 1
classmates 1
close 1
come 1
comes 1
complaints 1
completely 1
condition 1
consequences 1
control 1
could 1
coven 1
croak 1
croaking 3
cure 1
curse 1
cursed 1
day 1
days 1
dig 1
discovers 1
do 2
does 2
down 1
dowser 1
dowsing 1
during 1
each 3
easily 1
effects 1
end 1
entire 2
every 1
exactly 1
exotic 1
explaining 1
eyes 1
family 1
farm 5
father 2
feet 1
few 1
filled 1
finds 1
finger 1
first 1
flirted 1
flooding 1
flowing 1
for 11
fourth 1
freely 1
friend 1
friends 2
frog 1
from 2
frustrated 1
fulfilled 1
genuinely 1
get 1
geyser 1
girl 1
girls 3
glow 1
gradually 1
granted 1
grateful 1
grins 1
ground 1
grows 2
guffaws 1
habit 1
had 2
hard 1
has 4
have 3
he 5
henry 5
her 22
him 1
his 8
house 1
how 1
however 1
huge 1
human 1
humanhe 1
if 2
implying 1
important 1
in 8
independent 1
infatuated 1
insults 1
into 2
invitation 1
invite 2
involved 1
is 7
it 3
items 1
joyful 1
jugarum 1
jumps 1
later 1
learns 2
leave 1
left 1
like 3
liked 1
literally 1
little 1
lives 1
locate 1
locations 1
long 1
love 1
made 1
magical 1
makes 2
man 1
manner 1
meade 1
meat 4
meets 1
method 1
middle 1
mind 1
momentarily 1
more 2
most 2
much 2
named 1
narrator 1
never 2
newfound 1
next 1
nicknamed 1
normal 1
not 4
notices 1
of 14
on 7
only 5
or 3
other 1
out 2
over 2
own 1
parents 2
people 3
piper 1
places 1
polly 6
popular 2
press 1
rather 1
realizes 1
really 1
receives 1
recognizes 1
red 2
reminded 1
repercussions 1
returns 1
reveals 1
ridicule 1
rod 2
rooted 1
roots 1
rowena 5
rude 1
running 1
salesman 1
sam 2
say 1
says 2
school 2
search 1
see 1
sees 1
sells 1
set 1
sharptongued 1
she 10
shoots 1
side 1
smile 1
snobbish 1
so 4
soil 1
some 1
something 3
soon 1
source 1
speaking 1
spiteful 1
spoken 1
spot 3
stew 4
stewart 1
stops 1
store 1
stories 1
strange 1
street 1
subside 1
sudden 1
suffered 1
sycamore 1
taken 1
teaches 1
tell 1
temporarily 1
tent 2
thaddeus 1
than 1
that 13
the 27
their 4
them 3
there 1
they 5
this 3
three 4
through 1
time 3
to 28
transforms 1
traveling 1
travelling 1
travels 1
tree 2
tries 1
true 2
turns 1
two 2
undone 1
unexpected 1
unlikable 1
unusual 1
use 1
visit 1
voice 1
wants 1
water 6
waterspout 1
way 1
were 1
when 2
whenever 1
while 1
whispers 1
who 4
whose 1
will 1
wish 8
wished 1
wishes 3
with 8
without 1
wordforword 1
work 1
works 1
would 2
