2126110
/m/06nxpk
/m/06nxpk
Alasdair Gray
1994
a 6
almost 1
an 1
ancient 1
and 3
any 1
book 1
by 4
bypassing 1
central 1
characters 1
destroy 1
develops 1
dictatorships 1
dissatisfied 1
documentation 1
dryhope 1
everything 1
experiences 1
exploitation 1
finds 1
for 2
form 1
gray 1
had 1
he 1
hero 1
himself 2
his 1
history 1
in 4
interest 1
is 2
its 1
labour 1
lack 1
leaving 1
life 2
like 1
make 1
manual 1
men 1
mother 1
narrative 1
need 1
notes 1
novel 1
of 6
order 1
person 1
plot 1
poor 1
portion 1
posterity 1
powerplants 1
prologue 1
protagonist 1
provided 1
purpose 2
record 1
struggles 1
takes 1
text 1
the 9
their 1
themselves 1
things 1
third 2
to 4
total 1
twentiethcentury 1
unhealthy 1
up 1
vulnerable 1
wars 1
wat 2
way 1
when 1
which 3
with 1
world 1
written 2
