1988525
/m/06c6bk
/m/06c6bk
Qiu Xiaolong
2000
{"/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 4
afternoon 1
all 1
an 1
and 4
as 4
aspects 1
attention 1
bag 1
be 1
bing 1
black 1
body 1
bringing 1
brings 1
by 1
cadre 1
can 1
canal 1
cao 1
case 2
chen 3
chief 1
connections 1
corpse 1
discover 1
discovers 1
established 1
eventually 2
everything 1
family 1
found 2
friends 1
further 1
grappling 1
guan 1
having 1
heroine 1
highranking 1
hinder 1
his 3
hongying 2
in 3
inspector 1
into 1
investigate 1
investigation 2
is 3
it 1
likely 2
makes 1
model 1
motive 2
murderer 2
must 1
naked 1
name 1
national 1
obscure 1
obstructions 1
of 5
older 1
one 1
only 1
party 1
place 1
plays 1
political 2
power 1
read 1
red 1
shanghai 1
son 1
squarely 1
struggle 1
subordinate 1
superiors 1
that 2
the 13
then 1
though 1
thus 1
to 3
tracing 1
trash 1
two 1
upon 1
use 1
while 1
with 1
woman 1
worker 1
wrapped 1
wu 4
xiaoming 1
young 1
yu 2
