7605271
/m/0266kj0
/m/0266kj0
Madeleine L'Engle
1984-11-01
a 10
about 3
accepts 1
accident 1
admits 2
adult 1
advance 1
affairs 1
after 2
again 1
agrees 2
all 1
also 2
although 1
america 1
an 3
and 23
any 1
appears 1
are 2
around 1
arrive 1
arrives 1
as 2
asks 1
assure 1
at 1
attracted 1
aunt 2
away 1
back 1
be 2
because 1
been 2
before 1
begin 1
begins 3
blossoms 1
but 11
by 3
change 1
companionship 1
conference 2
contact 1
current 1
cyprus 1
daughter 1
days 1
dead 1
decides 1
depressed 1
detained 1
devastates 1
develop 1
does 2
drinking 1
drown 1
during 1
dying 1
each 1
earlier 1
encourages 2
enjoys 1
event 1
expects 1
family 1
feels 1
few 2
flashing 1
for 2
forgives 1
friend 3
friends 4
friendship 1
from 1
get 1
go 2
goes 3
gray 1
greece 5
guide 1
has 1
have 1
he 2
heal 1
heavy 1
held 1
her 14
him 1
his 2
horrified 1
hotel 2
how 1
identity 1
improves 1
in 6
innocence 1
insists 1
interest 1
interested 1
interesting 2
introduced 1
is 14
it 1
just 1
keep 1
late 1
line 1
literary 1
lovers 1
loves 1
makes 2
managed 1
max 13
meets 1
minutes 1
months 1
mood 1
more 1
narrating 1
nearly 1
needs 1
new 1
night 1
not 4
novel 1
occurs 1
ocean 1
of 3
offers 1
on 2
once 1
one 1
or 1
other 1
out 1
past 1
phones 1
physical 1
picked 1
polly 27
present 1
quite 1
rather 1
realize 1
relationship 2
reluctant 1
reluctantly 1
remains 1
renny 4
resists 1
restaurant 1
returns 1
romantic 2
runs 1
sailing 1
satisfied 1
saved 1
scared 1
see 1
seems 1
sense 1
severs 1
sexual 1
she 16
show 3
sights 1
six 1
sleep 1
state 1
stays 1
still 4
suddenly 1
surprised 1
surrounded 1
take 1
talk 1
teenager 1
tell 1
tells 1
terrified 1
that 5
the 13
them 1
they 3
thirty 1
this 3
time 1
to 21
together 1
too 1
tour 1
toward 1
tries 1
trip 2
two 3
unable 1
uncle 3
up 3
ursula 2
volunteer 1
vulnerable 1
was 1
were 1
what 1
when 4
where 1
which 1
while 2
who 1
will 2
with 4
work 1
years 1
zachary 5
