27089327
/m/0br_0py
/m/0br_0py
John Barnes
2010
51 1
a 8
actor 1
additional 1
aims 1
alone 1
an 3
and 6
any 1
are 5
as 1
attained 1
away 1
be 2
being 1
big 1
billionaire 1
billions 1
book 1
both 1
breaks 1
but 1
by 4
carrying 1
castle 1
catastrophic 1
chicago 1
civilization 1
claims 1
conductors 1
conscious 1
continuity 1
coordinated 1
create 1
created 1
crisis 1
critical 1
daybreak 2
dc 1
deal 1
death 1
deeper 1
desire 1
destroying 1
destroys 1
determined 1
detonate 1
die 1
directive 2
diverse 1
down 1
eats 1
electricity 1
emergency 1
emergent 1
end 1
event 1
execute 1
federal 1
followed 1
for 1
fuels 1
fusion 2
future 1
global 1
government 1
governments 1
group 1
groups 2
have 1
helpless 1
in 7
inadvertent 1
industrial 1
involvement 1
is 4
it 1
just 1
led 1
mass 1
may 2
measures 1
meme 1
metal 1
millions 1
modern 1
moon 1
motivations 1
movement 1
nanotech 2
near 1
neofeudalist 1
of 5
on 1
open 1
or 2
overlapping 1
petroleumbased 1
plague 2
plastics 1
power 1
preemplaced 1
presidential 2
procedures 1
property 1
pure 2
question 1
rapidly 1
reactionary 1
reference 1
replicators 1
rubber 1
saviors 1
seems 1
shadowy 1
shared 1
society 3
some 2
stabilizing 1
start 1
strikes 2
succession 1
system 1
technological 1
tens 1
that 2
the 14
their 1
there 1
these 1
they 1
things 1
this 1
title 1
to 6
toll 1
us 2
variety 1
washington 1
weapon 1
weapons 2
whether 2
which 3
with 2
world 1
