9177928
/m/027_9rs
/m/027_9rs
Beverly Cleary
1964
25 1
a 13
adopt 1
after 2
again 1
allowed 1
an 4
and 14
apartment 1
as 2
at 4
attempt 1
attention 2
await 1
away 1
back 1
ball 1
bath 1
becoming 1
before 1
beloved 1
beside 1
book 2
books 1
boy 4
bubble 1
building 1
but 2
button 1
by 4
car 5
caught 1
chafes 1
chases 1
class 1
coat 1
colorful 1
confronted 1
daughters 1
deal 1
decides 1
denied 1
different 1
dinner 1
dog 1
drive 2
electric 1
elementary 1
endures 1
escape 2
escapes 3
eventually 1
family 4
finally 2
finds 3
fire 2
first 1
follow 1
football 1
for 3
fortunately 1
found 1
frawley 3
from 1
gains 1
game 3
gamewinning 1
gets 3
getting 1
go 2
goes 1
greeting 1
happily 1
have 1
he 6
hearing 1
help 2
henry 6
her 1
hides 1
high 1
him 4
himself 1
his 6
home 2
hour 1
however 1
huggins 5
in 14
inadvertently 1
incident 1
incidents 1
into 2
invites 1
is 8
it 1
kicked 1
lady 1
landlady 2
larry 1
later 2
leash 1
left 1
like 1
line 1
lives 1
lowers 1
makes 1
mall 1
manages 1
mascot 1
miles 1
most 1
mr 1
mrs 3
mutt 1
named 1
nearby 1
neighborhood 1
new 2
newsmelling 1
of 9
off 1
offer 1
old 1
on 3
one 1
ongoing 1
out 3
over 1
owner 1
panics 1
paw 1
people 1
per 1
pet 1
phone 1
pleased 1
plot 1
portion 1
raises 1
retrieve 2
return 1
reunited 2
reward 1
ribsy 18
ride 1
running 1
school 2
search 3
seat 1
several 1
shop 1
shopping 2
sits 1
sleeps 1
sneaks 1
some 1
son 1
soon 1
spotted 1
squirrel 1
station 1
stomach 1
story 1
students 1
tackle 1
takes 2
telling 1
tennis 1
the 30
them 1
then 1
they 2
thinking 1
this 2
through 1
to 9
toddler 1
unofficial 1
until 1
up 1
voice 1
wagon 1
wandering 1
wants 1
was 1
when 2
where 2
while 1
who 5
window 1
with 9
won 1
workmen 1
