618853
/m/02x842
/m/02x842
Rodman Philbrick
1993
{"/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature"}
a 27
abandoned 1
about 1
acid 1
acting 1
acts 2
admitted 1
adventure 1
adventures 2
afraid 3
after 7
against 1
air 1
all 1
almost 1
alone 1
also 2
an 3
and 28
any 1
apartment 2
approaches 1
are 8
arrives 1
arthur 1
as 5
assistant 1
at 1
attacked 1
attempts 1
attention 1
avoid 1
away 1
back 1
be 3
because 4
become 1
been 3
begin 1
beginning 1
believed 1
best 1
big 1
bigger 1
bionic 2
bionics 1
birth 1
birthday 1
blade 3
blank 1
body 3
book 2
boss 1
boy 3
boys 2
braces 2
brain 1
burnt 1
but 5
butthead 1
buy 1
by 9
call 1
called 1
calls 1
can 1
car 1
cat 1
catches 1
chases 1
child 1
christmas 2
claims 2
come 1
completely 1
con 1
conflict 1
consider 1
convicted 1
cops 1
court 1
cretin 1
crutches 2
curry 1
d 1
day 2
daycare 1
defect 1
department 2
despite 1
did 1
died 1
disability 1
do 1
doesnt 2
doing 1
dont 1
door 1
down 2
drag 1
driven 1
drives 1
emergency 1
end 1
ending 1
escape 1
escapes 1
eve 1
even 4
everyone 2
eye 1
fact 1
fair 4
family 1
far 1
fashion 1
father 12
fear 1
filled 2
find 2
finds 1
fireworks 1
fitted 1
for 4
fourth 1
freak 16
friend 1
friends 1
from 2
fun 1
funeral 1
gang 4
gave 1
get 3
gets 1
gives 2
go 2
going 3
got 1
gram 3
grandfather 1
grandmother 1
grim 6
guinevere 1
gun 2
gwen 4
had 5
happily 1
has 9
hate 1
have 2
having 2
he 20
head 1
heard 1
heart 1
help 1
her 3
him 13
himself 2
his 26
home 1
honor 1
hope 1
hospital 4
hostility 1
house 1
however 3
iggy 3
in 18
incident 1
including 1
initially 1
intimidating 1
into 4
is 14
it 6
july 1
just 1
kane 10
keeps 1
kenny 1
kevin 6
kid 1
kidnapped 1
kill 2
killed 1
killer 6
king 1
knew 2
knowledge 1
lack 1
later 3
leaves 1
lee 3
left 1
leg 2
let 1
life 2
like 3
likes 1
lives 1
looks 1
loretta 2
lorettea 1
love 1
low 1
man 2
manner 1
many 1
max 31
maxwell 1
mental 1
met 1
middle 1
mighty 2
misses 1
months 1
morning 1
morquio 1
mother 4
motorcycle 1
moves 1
moving 1
muddy 1
murder 1
murderer 1
named 2
nearby 1
neat 1
new 2
news 1
next 2
not 2
nothing 1
nurse 1
obedient 1
of 16
off 1
old 1
older 1
on 9
once 2
one 2
or 3
orders 2
original 1
ornithopter 1
out 3
outside 1
own 1
panheads 1
parole 3
people 1
physical 1
plans 1
plus 1
police 2
pond 1
powder 1
prison 1
protection 1
purse 1
puts 1
really 1
referred 1
reminiscing 1
return 2
returns 1
reveal 1
revealed 1
reveals 4
riding 1
robot 1
room 2
same 1
saves 2
says 1
scanned 1
scared 1
school 3
secret 1
see 1
sees 1
seizure 1
selfesteem 1
sentence 1
serve 1
serving 1
sets 1
sewer 1
she 2
shocked 2
short 1
shoulders 1
show 2
slowly 1
so 2
soap 1
some 2
something 1
son 2
squirt 1
squirting 1
stage 1
start 1
starts 2
staying 1
stop 1
story 3
strangle 1
strangling 2
struck 1
such 1
sulfuric 1
swears 1
syndrome 1
take 2
taken 2
takes 1
telling 1
tells 1
ten 1
tenements 1
testify 2
than 1
that 16
the 44
them 1
themselves 1
they 9
things 1
thinks 3
this 1
though 1
threatening 1
threatens 1
throughout 1
tied 2
time 4
to 33
tony 1
too 1
towards 1
toy 1
training 1
tree 1
tries 2
two 4
under 1
until 1
up 5
uses 1
very 2
vinegar 1
waiting 1
walk 1
want 1
warmer 1
was 2
wears 1
weather 1
when 4
where 1
which 3
who 6
wife 2
will 1
with 10
witnessed 1
woken 1
woman 2
would 1
write 1
writes 1
years 2
young 1
