3434390
/m/09c7hn
/m/09c7hn
Henry James

a 3
acting 1
actual 1
actually 1
also 1
an 1
and 8
another 1
are 3
artist 1
as 4
assurance 1
assured 1
at 3
be 1
before 1
begins 2
briss 3
brissenden 1
by 1
certain 1
changes 1
completely 1
concludes 1
confrontation 1
constantly 1
construct 1
country 1
crazy 1
discusses 1
dismayed 1
elaborate 1
energy 1
enormously 1
eventually 1
fellow 1
finishes 1
first 1
for 2
ford 1
fount 1
from 2
getting 1
gilbert 1
guests 1
has 1
he 6
her 1
him 2
his 2
husband 1
ideas 1
if 1
in 2
intelligence 1
is 2
john 1
lady 1
last 1
later 1
leaves 1
listless 1
lively 1
long 5
lover 1
lovers 1
may 2
midnight 1
mind 1
misread 1
more 1
mrs 4
much 2
narrator 7
newfound 1
nicknamed 1
notices 2
novel 1
obert 1
of 4
older 1
others 1
overwhelmed 1
particularly 1
partners 1
party 3
people 1
providing 1
real 1
relationships 1
ridiculous 1
sacred 1
says 1
screens 1
seems 2
sees 1
server 1
sexual 1
she 4
some 1
source 1
starts 1
take 1
taking 1
telling 1
ten 1
than 2
that 7
the 17
their 3
theories 2
theorize 1
theorizes 1
though 1
to 6
train 1
vampirelike 1
vitality 3
waits 1
weekend 1
whether 1
which 1
who 1
whom 1
with 2
woman 1
wonder 1
word 1
years 1
youngerlooking 1
