8609936
/m/0279wj6
/m/0279wj6
Thomas Middleton
1608

50 1
a 8
accept 1
advises 1
agrees 2
allows 1
an 1
and 11
angry 1
another 1
apparent 1
are 1
arise 1
arrested 1
as 1
at 2
away 1
banquet 1
be 3
because 1
but 2
by 1
celebrating 1
claiming 1
cons 1
conversely 1
country 1
courtesan 1
covetous 1
credit 1
creditors 2
daughter 1
debts 1
delighted 1
dunning 1
estates 2
even 1
exmistress 1
fiance 1
fix 1
for 4
former 2
good 1
has 2
have 1
heir 1
her 2
herself 2
him 4
himself 2
his 9
hoard 11
hot 1
however 1
husband 1
if 1
in 4
including 1
into 1
is 4
it 1
joins 1
joyce 2
kneels 1
life 1
london 2
loss 1
love 1
lucre 9
make 1
marriage 1
marries 1
masquerade 1
match 2
merchant 2
mistress 2
more 2
mortgaged 1
nephew 1
new 3
of 4
offer 1
over 1
past 1
paying 1
pecunius 1
persuades 1
play 1
poor 1
precontract 1
promise 1
promises 1
proposal 1
prospect 1
protagonist 1
provides 1
pursuit 1
reason 1
rejection 1
reluctantly 1
repentance 1
resents 1
resist 1
restores 1
revealed 1
rich 5
rival 1
rivals 1
ruthless 1
same 1
secret 1
sensual 1
she 1
shown 1
similarly 1
so 1
spendthrift 1
spirited 1
stop 1
suitors 1
swindler 1
than 1
that 1
the 9
theodorus 1
to 9
uncle 1
vague 1
walkadine 2
ways 1
widow 4
wife 2
witgood 12
with 5
