8675328
/m/027dkmk
/m/027dkmk
Jeff Grubb
1988-10
a 14
able 1
acquired 1
acquiring 1
actions 3
actually 1
adventurers 1
adventuress 1
akabar 1
akash 1
alias 4
amnesic 1
an 2
and 10
are 1
arm 1
artificial 2
as 3
at 1
attempts 1
attributes 1
awakening 2
azure 1
backstory 1
bard 1
be 2
becomes 1
before 1
begins 1
being 1
bel 1
benign 1
between 2
branding 1
but 1
by 5
called 1
caused 1
character 2
collaborating 1
colored 1
combinations 1
companions 1
compel 1
complicated 1
compulsions 1
control 2
created 1
creation 1
creator 1
creators 1
discovers 1
disoriented 1
disparate 1
dragonbait 1
drunken 1
due 1
each 1
elbow 1
embark 1
end 2
essentially 1
events 1
eventually 1
exerts 1
fact 1
finders 2
finds 1
first 1
follows 1
forming 1
freedom 1
gap 1
giogioni 1
granted 1
groups 1
halfling 1
has 2
her 14
herself 1
imprinted 1
in 10
inadvertently 1
inebriation 1
inside 1
intended 1
interruptions 1
introductory 1
investigations 1
involved 1
is 5
it 2
later 1
life 1
limited 1
lizardcreature 1
long 2
loss 2
mage 1
magical 1
magically 1
main 1
means 1
memories 2
memory 2
misled 1
most 1
mysterious 1
named 3
namely 1
nefarious 1
newly 1
next 1
novel 4
nucleus 1
of 13
olive 1
on 2
origin 1
own 1
ownership 1
part 1
parties 1
party 2
plays 1
plot 1
power 1
prank 1
premature 1
presence 1
proxy 1
purposes 1
recurring 1
relatively 1
remove 1
resists 1
result 1
revealed 1
role 1
ruskettle 1
she 4
short 1
sole 1
soon 2
southern 1
space 1
spur 1
state 1
stone 2
story 1
supporting 1
sword 1
tattoo 5
term 2
that 3
the 27
their 1
titular 1
to 9
towards 1
trilogy 1
trilogys 1
various 1
was 1
well 1
were 1
which 1
wins 1
with 1
worryingly 1
wrist 1
wyvern 1
wyvernspur 1
