711958
/m/034xw8
/m/034xw8
Christopher Paolini
2005-08-23
100000 1
12 1
a 24
abilities 1
able 1
about 2
accompany 1
adopt 1
affections 1
after 3
afterward 1
agaet 1
again 1
against 1
aid 1
ajihad 2
alive 1
all 2
almost 1
along 1
also 1
alter 1
altered 1
ambushed 1
among 1
an 6
ancient 1
and 41
appears 1
are 6
army 3
around 1
arrival 1
arrived 1
arrows 1
arya 2
as 8
asks 1
assailant 1
assassination 1
assumed 1
at 5
attack 4
attacked 2
attempt 1
attends 1
avoid 1
back 1
barges 1
based 1
bashing 1
battle 2
be 2
become 1
been 1
before 1
begins 2
being 1
believes 1
belt 1
besides 1
betrays 1
bites 1
black 1
bldhren 1
blessing 1
bloodoath 1
boar 1
boats 2
bonded 1
book 1
both 1
bow 1
brings 1
brom 1
brother 2
brutally 1
but 4
butcher 1
by 8
called 2
camp 1
can 2
cannot 1
captured 1
carvahall 1
causes 1
celebration 1
ceremony 1
changes 1
character 1
chased 1
chasing 1
choice 1
chooses 1
clan 1
closer 1
cloth 1
combat 1
coming 1
command 1
completing 1
concoction 1
confesses 1
conflict 1
continues 2
convinces 1
copy 1
cousin 2
create 1
cripple 1
crippled 1
daughter 2
day 1
dead 1
decide 1
decided 1
decides 3
defeat 1
defenses 1
departure 1
discouraged 1
discuss 1
dismayed 1
down 1
dragon 12
drasleona 1
du 1
due 2
durgmist 1
during 1
dwarf 2
dwarves 3
earning 1
effectively 1
effort 1
eldest 1
elected 1
elfhuman 1
elva 2
elven 1
elves 1
elvish 1
empire 4
enchanted 2
end 1
enemey 1
enhance 1
entire 2
equipment 1
equips 1
eragon 21
escape 3
eventually 1
expensive 1
extremely 1
eye 1
face 1
fails 1
father 2
favor 1
feelings 1
fight 2
figures 1
financial 1
find 1
flask 1
for 8
force 2
forced 2
forces 1
forcibly 1
forest 2
foster 1
friend 1
friends 1
friendship 1
from 5
funeral 1
galabatorix 1
galbatorix 7
garrow 1
gathers 1
gems 1
gigantic 1
given 1
glaedr 4
go 1
gone 1
good 1
government 1
group 4
had 1
hammer 2
hand 1
has 2
hatched 1
have 2
he 11
heads 1
healing 1
heavy 1
help 4
her 2
hide 1
him 8
his 19
horst 1
hostile 1
house 1
however 2
hrothgar 2
humans 1
hunting 1
hybrid 1
in 12
information 2
ingeitum 1
initially 1
into 4
invasion 1
is 26
it 1
jeod 3
join 2
joins 1
katrina 6
key 1
kidnapped 1
kill 1
killed 3
kills 1
king 2
lace 1
later 2
leader 1
learn 1
learns 2
leave 1
leaves 1
leaving 2
lethrdblaka 1
locates 1
logic 1
losses 1
low 1
loyalty 1
magic 2
magical 1
magicians 1
manages 1
marry 1
mate 1
meantime 1
meanwhile 4
meeting 1
meets 2
men 1
mercy 1
miserably 1
mobilize 1
monsters 1
most 2
mount 1
move 1
multiple 1
murtagh 7
must 1
named 2
narda 1
nasuada 6
night 2
not 1
now 2
of 21
off 1
old 1
on 2
once 1
one 2
only 2
opposing 1
originally 1
orik 1
oromis 3
other 1
outmatches 1
over 1
parents 1
pay 1
peace 1
per 1
planning 2
plotting 1
poem 1
potential 1
priceless 1
problem 1
protagonists 1
rates 1
razac 9
reach 1
reaches 1
rebel 1
reinforcements 1
reinvigorated 1
rejects 1
repel 1
rescue 2
retreat 1
reunites 1
revealed 1
reveals 1
rider 7
room 1
roran 16
sail 1
saphira 5
saves 1
saying 1
scar 1
scholarship 1
second 1
secretly 1
sees 1
seizures 1
sell 1
sending 1
senses 1
sets 1
she 2
ship 1
shows 1
shruikan 1
similar 1
sloan 2
smithy 1
snuck 1
so 3
soldiers 3
solution 1
sons 1
soon 3
sooner 1
spectral 1
steal 1
steeds 1
strangers 1
stronghammer 1
stunned 1
subversive 1
sudden 1
suffer 1
surda 5
surrendering 1
suspected 1
swooning 1
sword 1
takes 3
taught 1
tells 2
than 1
that 11
the 76
their 3
them 4
themselves 1
then 3
theory 1
there 2
they 9
things 1
thorn 2
thus 1
tierm 2
times 1
title 1
to 37
together 1
trained 1
training 3
trap 1
travel 2
tries 1
tronjheim 1
troubles 1
turning 1
twins 2
ultimately 1
under 1
unmasked 1
until 2
unwillingly 1
up 2
upcoming 1
upon 1
urgals 1
use 1
varden 11
village 8
wakes 1
want 1
was 1
weldenvarden 1
well 3
when 2
where 1
while 3
whirpool 1
who 9
whole 1
whom 1
will 1
win 1
wing 1
with 15
without 1
wounds 1
