2879087
/m/088plh
/m/088plh
Marc Estrin

a 1
alice 1
american 1
and 4
away 1
being 1
by 1
chambermaid 1
conferred 1
d 1
einstein 1
encountered 1
feminist 1
figures 1
franklin 1
gregor 1
he 1
in 1
involved 1
klan 1
klux 1
ku 1
like 2
met 1
movement 1
oppenheimer 1
paul 1
president 1
prohibition 1
rather 1
robert 1
roosevelt 1
samsa 1
samsas 1
scopes 1
secretly 1
sideshow 1
sold 1
spengler 1
than 1
the 3
then 1
thrown 1
to 1
trash 1
trial 1
us 1
various 1
viennese 1
was 2
with 1
witnessed 1
wittgenstein 1
