6734450
/m/0gl6x_
/m/0gl6x_
Daniel Harbour


a 10
abandon 1
about 3
absence 1
according 2
acknowledges 1
adopt 4
adopts 1
almost 1
also 1
alternative 1
an 4
analyzing 1
and 21
any 3
anyone 4
are 3
argue 1
argues 2
argument 2
around 1
as 3
assumptions 3
at 1
atheism 6
atheist 4
attempt 1
author 1
baroque 4
based 1
basis 1
be 4
because 1
belief 2
beliefs 1
better 3
between 1
beyond 1
blind 1
book 3
breadth 1
by 1
cares 3
case 1
centuries 1
compares 1
comparing 1
conclusions 1
connection 1
consequently 1
constructs 1
correct 1
covers 1
criticism 1
critique 1
daniel 1
demonstrate 1
demonstrating 1
determines 1
dint 1
direct 1
directly 1
discussion 1
does 4
dogmatic 1
dogmatism 1
due 1
effort 1
either 1
elaborate 1
enquiry 1
ever 2
evidence 2
exist 2
explain 3
explains 1
extremely 1
facts 1
focused 1
focusing 1
for 3
former 1
fundamental 1
fundamentally 1
god 2
guide 1
harbour 5
has 1
have 1
he 5
helping 1
helps 1
highly 1
his 2
history 1
however 3
if 1
impact 1
implausible 1
important 2
in 6
inclined 1
incorrect 1
inevitably 1
inquiry 1
involves 1
is 14
it 9
its 1
job 1
labels 1
leads 1
little 1
live 2
logically 1
look 1
made 1
main 1
make 2
makes 2
may 1
mechanisms 1
merely 1
meritocracy 9
meritocratic 1
method 1
minimal 1
monarchy 4
more 7
most 1
much 2
mysteries 1
naturally 1
nature 1
necessary 1
nevertheless 1
not 2
obedience 1
occur 1
of 17
on 4
one 1
onetime 1
opposing 1
or 3
our 2
out 1
paper 1
paradigm 2
particular 1
perspective 1
phenomena 1
place 2
placed 1
plausible 2
possible 2
prejudicial 1
presents 1
probably 2
proper 1
proposal 1
pursuits 1
question 1
rather 4
rational 1
reaching 1
reasonable 1
reasonableness 1
relies 1
result 1
revision 2
science 1
seen 1
should 3
some 1
spartan 10
speaking 1
spends 1
stands 1
strictly 1
subject 1
successful 1
suggest 1
sum 1
superior 2
technology 1
than 5
that 11
the 46
theism 6
theist 1
then 1
theories 1
theory 1
there 1
these 2
thing 1
this 1
through 1
throughout 1
thrust 1
thus 1
time 1
title 1
to 20
total 1
truth 3
try 1
trying 1
two 2
types 1
understand 1
unlikely 1
unmasks 1
upon 3
us 2
validity 2
ways 2
we 1
were 1
when 1
which 4
while 1
who 4
why 2
will 1
within 1
world 8
worldview 1
worldviews 5
would 1
