737935
/m/03730q
/m/03730q
James Clavell
1981-04
163 1
a 2
aid 1
all 2
also 1
american 1
an 1
and 6
anything 1
archrival 1
at 1
attempts 1
bank 1
both 1
british 1
by 1
can 1
chinese 1
communists 1
company 1
crashes 1
criminal 1
desired 1
desperately 2
destroy 1
do 1
documents 1
done 1
dunross 3
embroiled 1
enlisting 1
espionage 1
extricate 1
financial 1
finds 2
follows 1
for 2
from 3
get 1
gornt 1
government 1
he 3
himself 2
his 3
hong 2
hostile 1
house 3
ian 1
illegally 1
in 5
include 1
influence 1
international 1
is 3
it 1
kgb 1
kong 2
landslides 1
left 1
market 1
meanwhile 1
mi6 1
millionaire 1
nationalists 1
noble 3
nobody 1
novel 1
obstacles 1
of 3
off 1
once 1
other 1
over 1
overextended 1
partnership 1
position 1
possession 1
precarious 1
predecessor 1
prevent 1
quillan 1
rescue 1
runs 1
save 1
secret 1
seeks 3
seems 1
set 1
shortages 1
soviet 1
spies 1
stock 1
struan 4
struggles 1
taipan 1
taiwanese 1
takeover 1
target 1
the 8
this 3
time 1
to 7
trying 1
underworld 1
vie 1
ward 1
water 1
when 2
while 2
who 1
with 1
without 1
