22473609
/m/05zmydn
/m/05zmydn
Herbert Read
1935
{"/m/01hmnh": "Fantasy"}
1861 1
25nbspyears 1
30nbspyears 2
a 25
about 1
above 1
absolute 1
accepts 1
accidentally 1
adjoining 1
after 1
agent 1
ago 2
aires 1
all 1
allowed 1
allows 1
alone 1
also 1
american 2
amnesty 1
among 1
an 2
and 29
another 1
any 2
appears 1
are 3
argument 1
army 1
around 2
arrested 1
arrival 1
arrived 1
as 10
ascending 1
assassinate 1
assassination 2
assembly 1
at 2
attendants 1
avoid 1
backwards 1
basic 1
be 2
beauty 1
became 1
become 1
bed 1
begins 3
behind 1
beneath 1
between 2
blood 1
body 2
book 3
bookkeeper 1
born 1
brother 1
brought 2
bubble 1
buenos 1
but 3
by 3
capital 1
captive 1
carrying 1
cause 1
caverns 1
cdiz 1
centre 1
chair 1
children 1
city 1
colonies 1
colour 1
comes 1
community 1
contemplating 1
continue 1
continues 1
country 4
course 1
covering 1
crystal 1
crystalcutters 1
crystals 2
customary 1
cut 1
day 1
death 3
decides 1
deserting 1
destination 1
determines 1
dictator 3
die 1
died 1
disappear 1
discover 1
disorder 2
don 1
drink 1
drowned 1
during 1
dwell 1
earlier 1
employment 1
empty 1
encounter 2
england 1
english 1
escape 1
establish 1
evening 1
events 1
eventually 2
exists 1
explains 1
expresident 1
expupil 1
faked 1
fakes 1
fantasy 1
feel 1
fellow 1
ferdinand 1
final 2
finally 1
find 2
finds 1
first 4
flaccidity 1
flowing 1
follow 1
following 1
food 1
foot 1
for 5
forced 1
forms 1
free 1
freed 1
freshly 1
from 7
general 1
government 1
green 2
grotto 3
group 1
had 2
hand 2
harmony 1
has 3
hatch 1
he 25
held 1
her 4
high 1
highest 2
him 2
himself 2
his 11
holds 1
hoping 1
hurls 1
in 14
initially 2
injustice 1
instinctively 1
into 5
is 18
it 1
its 4
joy 1
king 1
kneeshaw 2
known 1
laid 1
lamb 1
lands 1
language 1
large 2
last 1
leader 1
leading 1
leads 1
leap 1
learned 2
learns 2
leaving 2
ledge 5
ledges 1
left 2
liberated 1
life 3
lighted 1
london 1
lost 2
lower 1
makes 1
making 1
manual 1
many 1
mass 1
meet 1
meets 1
men 1
middle 1
mill 2
miller 3
mistaken 1
moors 1
moral 1
morning 1
most 1
move 1
moves 1
mysteriously 1
narrative 1
native 1
natural 1
new 2
next 1
no 1
nostalgia 1
notices 1
now 2
objects 1
of 37
off 1
offers 1
old 1
oliver 2
olivero 19
on 8
once 1
one 3
only 1
open 1
opinion 1
oppression 1
or 1
order 1
ordered 1
ordernbsp 1
own 2
paddling 1
pair 1
part 4
parts 1
passage 1
peculiar 1
people 2
perfection 1
person 1
petrifying 1
pleasure 2
pleasures 1
plot 2
polish 1
pond 1
pool 3
position 1
possession 1
possibility 1
preparing 1
president 1
principles 1
prisoners 1
proceed 1
progression 1
properly 1
quest 1
raised 1
realises 1
recognises 2
recounts 1
regularly 1
release 1
remains 1
removing 1
republic 1
resistance 1
resolves 1
return 1
returned 1
returns 1
revolutionary 2
roncador 3
running 1
rushes 1
sacred 1
sally 6
same 2
sand 1
santos 1
school 1
schoolmaster 1
second 3
sees 1
seize 1
selects 1
series 1
settles 1
she 4
ship 1
shop 1
silon 4
silvery 1
sink 2
skin 1
slaughtered 1
solitary 1
soon 2
south 1
space 1
spacefilling 1
spain 2
spanish 1
speak 1
spend 1
spent 1
stage 1
staged 1
stagnation 1
story 3
stream 3
struggle 1
style 1
subterranean 1
successful 1
suspected 1
suspicion 1
tailor 1
taken 1
takes 1
task 1
taught 2
teaches 1
tells 1
that 7
the 85
them 2
themnbsp 1
there 3
they 4
third 1
thirdperson 1
this 2
thought 1
three 1
through 4
tied 1
time 1
tires 1
to 36
together 2
told 1
too 1
transporting 1
travel 1
travels 1
trough 1
two 3
unable 1
under 1
universe 1
up 1
upper 2
upstream 1
us 1
village 7
voltaire 1
wandered 1
was 3
water 5
way 1
welcomed 1
what 1
when 3
where 8
which 3
who 4
whom 2
window 2
wishes 1
wishing 1
with 3
woman 2
work 1
working 1
world 4
writer 1
written 1
years 3
young 1
youth 1
