8431888
/m/027369b
/m/027369b
Boris Strugatsky

a 7
able 2
about 6
accepted 1
actions 1
active 1
addition 1
advance 1
afford 1
again 1
all 3
almost 2
alone 1
although 1
among 1
amount 2
an 5
and 17
any 1
anything 1
apollon 2
appears 1
are 4
as 7
at 5
attempt 1
awarded 1
bar 1
be 3
becomes 3
been 1
being 4
between 2
blue 1
bread 3
but 4
buy 1
by 4
cares 1
cautious 1
certainly 1
change 1
changes 1
character 1
characteristically 1
characters 1
citizens 1
city 2
clear 1
collecting 1
color 1
completely 2
concerned 1
considerable 2
correspondingly 1
country 2
culture 1
curious 1
current 1
daughter 1
decision 1
degree 2
described 1
difference 2
discovery 1
donate 1
during 1
earth 1
english 1
entire 3
even 4
event 1
events 1
exact 1
example 1
exposed 1
extra 1
extraterrestrials 1
extremely 2
far 1
farmers 3
fast 1
few 1
first 3
fluid 1
for 4
from 3
fully 1
future 1
gastric 1
generated 1
gives 1
good 1
government 3
gradually 2
grain 2
greek 2
grown 1
grows 1
happen 1
happening 1
harvest 1
has 1
have 2
he 2
hero 1
higher 2
highly 1
him 1
his 7
history 1
hobby 1
housekeeper 1
human 1
ideological 1
if 1
imagery 1
immediately 2
important 1
in 8
including 1
income 1
information 1
initially 1
interest 2
invaded 1
invaders 2
is 15
it 4
juice 1
known 1
living 1
longer 1
loyal 1
main 2
majority 3
many 1
martian 1
martians 4
may 1
mean 1
means 1
mentioned 1
minister 1
money 1
mood 1
moonshine 1
more 1
most 3
names 2
natural 1
nearby 2
need 1
needed 1
neither 1
new 5
no 2
nor 1
normal 1
not 6
nothing 1
novel 1
nowdeceased 1
occurs 1
of 14
on 1
one 2
only 3
optimistic 1
or 4
other 1
outside 1
overall 1
overjoyed 1
panic 1
pay 1
pending 1
pension 5
people 1
perhaps 2
places 1
planet 1
plot 1
point 1
population 2
portraying 1
possessing 1
practical 1
presumably 1
price 1
printed 1
provide 1
provides 2
public 1
purchase 1
pursue 1
put 1
rather 2
reaction 1
reader 1
reason 1
receiving 1
recently 1
rejoice 1
reported 1
resulting 1
retired 2
rise 1
russian 1
same 1
school 1
seem 1
shocking 1
significant 1
sounds 1
source 1
specific 1
stamp 1
stamps 1
story 1
strange 1
strictly 1
subject 1
such 1
sufficient 1
support 1
supposed 2
tasty 1
teacher 1
terms 1
than 3
that 6
the 52
their 1
them 2
then 1
there 1
they 1
things 1
third 1
this 4
thus 1
time 3
to 20
towards 1
town 2
translate 1
turning 1
two 1
uncertainty 1
understood 1
unfold 1
unknown 2
unusual 2
upcoming 1
use 1
used 1
value 1
variety 1
very 7
views 1
volunteers 1
war 1
was 2
weeks 1
well 2
what 2
whether 4
which 3
who 1
why 1
widely 1
wife 1
will 2
willing 1
win 1
with 3
working 1
worried 1
worry 1
yet 2
