9845983
/m/02ptqqy
/m/02ptqqy
William Golding
1959
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 10
about 1
abruptly 1
adopted 1
after 1
all 1
also 1
alternates 1
ammy 1
an 2
and 11
another 1
anticipation 1
anything 1
apologises 1
art 1
as 2
at 1
attempt 1
attended 1
awaiting 1
beatrice 3
become 1
been 1
between 1
bored 1
breaks 1
brought 1
but 2
by 2
camp 2
child 1
class 1
college 1
commandant 1
cries 1
current 1
darkness 1
day 1
denies 1
despair 1
desperately 1
despite 1
diametrically 1
directionless 1
down 1
dr 1
during 1
escape 1
escaped 1
eventually 1
father 1
fell 1
fianc 1
find 1
flashbacks 2
for 1
found 1
freedom 1
from 1
germany 1
gestapo 1
girl 1
gone 1
gradually 1
grammar 1
grew 1
had 1
halde 2
happy 1
has 1
have 1
he 12
help 1
her 2
him 2
his 6
horrified 1
how 1
humiliated 1
ifor 1
in 8
increasing 1
incurably 1
inmates 1
insane 1
interviews 1
is 2
isolation 1
just 1
kindly 1
knowing 2
like 1
living 1
local 1
locked 1
long 1
loses 1
lost 1
love 1
lover 1
man 1
managed 1
married 1
master 1
mountjoy 1
never 1
nick 1
novel 1
of 3
officer 2
opposed 1
organization 1
out 1
outraged 1
painter 1
parentfigures 1
particular 1
passion 1
possible 1
pressure 1
priest 1
pringle 1
prisoner 1
recently 1
released 1
religious 1
return 1
rowena 1
sadistic 1
sammy 3
samuel 1
school 2
science 1
selfcontrol 1
series 1
shales 1
she 1
should 1
slum 1
small 1
some 2
state 1
storeroom 1
student 1
studies 1
talented 1
taught 1
terror 1
that 2
the 8
then 1
these 1
this 1
to 4
torn 1
torture 1
two 1
unable 1
under 1
unhappy 1
very 1
violent 1
war 1
was 4
what 1
when 2
where 1
whilst 1
who 2
with 3
woman 1
wonders 1
wwii 1
years 1
young 1
