1142625
/m/049_l4
/m/049_l4
Leo Tolstoy
1889
{"/m/05hgj": "Novel", "/m/01qxvh": "Romance novel", "/m/0hwxm": "Historical novel"}
47 1
a 10
acquitted 1
actions 1
adultery 1
after 3
alternate 1
an 1
and 15
apparent 1
are 1
argues 1
arouse 1
arranged 1
as 5
asks 1
away 1
based 1
be 2
bears 1
became 1
beethoven 1
but 4
can 1
change 1
children 2
complains 2
concerning 1
contraceptives 1
convention 1
conversation 1
dagger 1
describes 1
designed 1
desire 1
desires 1
dictates 1
did 1
divorce 1
dresses 1
during 1
early 1
enjoy 1
enough 1
equal 1
escapes 1
ever 1
exclusive 1
excuse 1
fellow 1
fights 1
finds 1
for 3
foreign 1
forgiveness 1
form 1
from 1
further 1
geared 1
goes 1
hatred 1
have 1
he 7
hides 1
him 1
his 5
how 3
i 2
if 1
in 3
initial 1
internal 1
into 1
is 4
it 2
jealousy 1
kills 1
kreutzer 1
last 1
later 1
life 2
light 1
liking 1
long 1
love 5
lover 1
major 1
marriage 2
married 1
marries 1
meets 1
men 5
mentioning 1
much 2
murder 1
music 1
never 1
no 1
not 2
objects 1
of 6
often 1
on 2
one 5
op 1
our 1
out 1
over 2
overhears 1
passengers 1
passes 1
passionate 1
people 1
perform 1
periods 1
person 1
piano 1
pleasure 1
points 1
power 1
powerful 1
pozdnyshev 3
preference 1
prostitutes 1
quickly 2
raging 1
receives 1
relates 1
remembered 1
returns 1
ride 1
rides 1
ridiculous 2
rights 1
run 2
seeking 1
several 1
she 1
should 1
situation 1
society 1
socks 1
some 1
sonata 2
state 1
states 1
stay 1
sway 1
swinish 1
taken 1
takes 1
terrible 1
than 1
that 7
the 5
their 2
them 1
then 3
they 1
to 9
together 3
towards 1
train 1
trains 1
trip 1
true 1
turn 1
two 3
understood 1
used 1
vicious 1
view 1
viler 1
violin 1
violinist 2
visit 1
wanted 1
was 2
wellbeing 1
what 1
when 2
wife 5
will 1
wish 1
with 1
woman 1
women 2
yet 1
young 1
