4974452
/m/0cxz_j
/m/0cxz_j
Clive Cussler
2004
{"/m/01jfsb": "Thriller", "/m/05hgj": "Novel", "/m/08sdrw": "Adventure novel"}
114 1
a 34
about 1
accident 1
accompanied 1
aircraft 1
along 1
alps 2
an 4
and 22
angus 1
animals 2
announce 1
another 2
anything 1
archaeological 1
archnemesis 1
are 5
armour 1
arms 1
arrives 1
artifact 1
as 7
asked 1
asking 1
at 2
attack 2
attracted 1
august 1
auguste 1
austin 4
authorities 1
aviatik 1
back 4
bald 2
barrier 1
beautiful 1
because 1
becomes 1
been 4
began 2
begins 1
being 2
below 1
bernard 1
between 1
biplanes 1
board 1
body 5
border 1
box 3
brings 1
buried 1
but 4
by 5
call 3
called 2
came 1
cannot 1
cast 1
cellphone 1
century 1
chagrin 1
chemist 1
chopper 1
civilizations 1
clear 1
clippings 1
coat 1
colleagues 1
comes 1
coming 1
company 1
complaints 1
conference 2
crack 1
creatures 1
crevace 1
crew 1
cut 1
cuts 1
day 1
deceased 1
decided 1
deep 1
demands 1
derek 1
destroyed 1
destroys 1
developing 1
discovered 1
discovery 1
distinctive 1
doing 1
dormeur 2
down 2
dr 1
dressed 1
du 1
during 1
early 1
emissary 1
encountered 1
ends 1
envelope 1
enzyme 1
enzymes 1
europeans 1
evening 1
eventually 1
ever 1
everyone 2
except 1
expert 1
explosion 1
fauchard 4
feet 1
fell 1
few 1
filmed 1
find 1
flashback 1
flight 1
flooding 2
flowing 1
flying 1
follows 1
for 3
former 1
found 2
four 1
france 2
french 2
from 3
frozen 3
full 1
get 1
give 1
giving 1
glacial 2
glacier 3
got 2
great 1
greece 1
greek 1
greeted 1
grin 1
group 2
had 6
hand 1
hank 1
has 2
he 14
headed 1
heading 1
hears 2
helmet 4
help 1
her 3
high 1
higherups 1
him 5
hired 2
his 8
hit 1
hitandrun 1
holds 1
hole 1
home 2
hour 1
hours 1
hundred 1
ice 1
identify 2
if 1
in 19
informed 1
inside 1
into 3
is 26
island 1
islands 1
isnt 1
it 5
itself 1
jodie 1
joe 1
journalist 1
jules 1
kidnapped 1
killed 4
kurt 2
lab 2
labelle 1
laboratory 2
lac 1
land 1
lands 2
large 2
later 1
le 1
leader 1
leblanc 1
leg 1
life 3
like 1
living 1
long 1
lost 1
loud 1
maclean 8
magazine 1
man 4
me 1
mediterranean 1
meet 1
message 1
michaelson 1
monastery 1
monemvassia 1
monowinged 1
moranesaulnier 1
much 1
muscular 1
n 1
named 2
need 1
needless 1
news 2
newspaper 1
next 1
no 2
not 4
occurs 1
of 16
off 1
old 1
on 8
one 2
only 1
operation 1
orkney 1
out 1
outside 1
owners 1
part 1
pay 1
peloponnese 1
phone 1
pistol 1
place 1
plane 1
planes 2
plotline 1
pope 1
possession 1
present 1
press 2
probably 1
pulls 1
puzzled 1
quality 1
questions 1
ran 1
rawlins 2
reality 1
reason 1
recalled 1
reminisces 1
remnants 1
renaud 6
repulsed 1
rescue 1
research 3
responds 1
riddle 1
river 1
rocks 1
routes 1
ruins 1
run 1
running 2
safely 1
same 1
saved 1
say 1
saying 3
says 1
scent 1
scientists 5
scottish 1
searching 1
seconds 1
see 1
seems 1
sees 1
send 1
sends 1
she 6
shore 2
shot 1
show 1
six 1
skye 8
small 1
something 1
spot 1
squad 1
start 1
state 1
story 4
storyline 1
strong 1
strongbox 1
studying 1
submersible 2
suit 1
surface 1
switzerland 1
takes 2
team 4
telephone 1
television 1
telling 1
terrible 1
that 10
the 68
them 1
then 4
they 4
this 4
though 1
three 1
thurston 1
time 1
to 23
tour 1
trade 1
trapped 1
tried 1
trouble 1
tunnel 2
turkey 1
twentieth 1
two 1
under 1
underground 1
until 1
up 1
urged 1
very 4
was 6
watching 1
water 2
waters 1
were 1
when 7
where 3
why 1
with 9
within 1
woman 1
world 1
worry 1
yet 2
your 2
zavala 2
