230089
/m/01hgw7
/m/01hgw7
Roger Zelazny
1970-06
a 31
about 2
accident 1
activities 1
addresses 1
adjacent 1
advice 1
after 6
afterwards 1
again 1
agreed 2
agreement 1
agrees 1
aid 1
aids 1
all 2
allies 1
allow 2
allows 1
already 1
also 3
although 8
amber 13
among 1
an 3
and 61
anniversary 1
apparently 1
appears 2
arcana 1
arden 1
are 4
arm 1
army 2
around 2
arrives 1
arrogant 1
as 5
asks 2
assault 2
assaulted 1
assembled 1
at 6
attack 1
attempt 1
attempted 1
attempts 3
awaiting 1
awakes 1
away 1
back 1
barely 1
barimen 1
battle 2
be 1
beasts 1
beaten 1
because 1
become 1
been 4
before 5
begin 1
begins 3
being 2
believes 2
beneath 1
benedict 2
bird 1
black 1
bleys 8
blind 1
blindness 1
bloodshoteyed 1
brand 3
breaching 1
break 1
brother 5
brothers 2
brought 1
burned 1
but 6
butterfly 1
by 12
cabra 2
caine 5
calls 1
came 1
can 1
captured 1
car 1
cards 2
cares 1
carl 1
castle 5
causing 1
cell 2
centuries 1
chains 1
changes 2
city 1
claim 1
cliff 1
clinic 3
combined 1
completes 1
conditions 1
confront 1
confused 1
constantly 1
contact 5
contacted 2
contacts 3
control 2
convinces 3
corey 1
coronation 2
corwin 47
court 1
craft 1
created 2
creatures 2
crimes 1
crown 3
crowns 2
curse 1
customised 1
dear 1
defeat 3
defeats 1
defenses 1
deirdre 5
deposited 1
desire 1
desperately 1
despite 2
destroying 1
did 1
disappears 1
dismounts 1
does 2
dogs 1
doing 2
door 1
draw 2
drawing 1
driven 1
duel 2
dungeon 2
dungeons 1
dwindled 1
dworkin 1
dying 1
earth 1
eat 1
efforts 1
elizabethan 1
encounter 1
encourages 1
end 1
endure 1
engage 1
england 1
entered 1
eric 23
escape 3
escapes 2
evelyn 1
eventually 5
evil 1
exchanging 1
explains 2
extent 1
eyes 1
eyesight 1
fact 1
fall 1
family 1
father 1
few 1
fight 2
finds 5
fiona 1
first 1
flaumel 1
fled 1
flees 1
flora 4
for 7
force 1
forces 4
forest 2
forth 1
four 1
free 1
friend 2
from 13
full 2
fully 2
furthermore 1
gained 1
garnath 1
gathered 1
gave 1
gets 1
gifts 1
girl 1
give 1
gives 1
got 1
grant 1
grard 2
group 1
guard 1
guards 1
had 2
hand 2
happening 1
harbor 1
has 6
hated 1
have 5
having 1
he 45
heads 1
help 1
her 2
here 1
heritage 1
herself 1
hiding 1
him 30
himself 9
his 37
hope 1
hopeless 1
house 1
how 1
however 1
humanoid 1
hunter 1
identity 1
image 2
images 1
immense 1
impounded 1
imprisoned 1
in 25
information 1
injures 1
insanity 1
instead 1
instructs 1
intentions 1
intimidated 1
into 2
invasion 1
is 24
it 2
its 1
itself 1
jewel 2
joins 1
jopin 5
judgment 2
julian 8
keeper 2
king 2
knew 1
know 1
knowledge 3
kolvir 1
lack 1
land 1
large 1
launches 1
learns 1
leaves 1
let 2
lets 1
library 2
life 1
lighthouse 4
little 1
live 1
llewella 2
locates 1
location 1
looking 1
looks 1
lord 1
lost 1
maintain 1
major 1
makes 1
manager 1
manner 1
master 1
medical 1
meet 1
meets 1
memory 3
men 1
mental 2
message 1
misgivings 1
missing 1
moire 3
morgenstern 1
mountain 1
move 1
moved 1
mysterious 3
named 1
navy 3
near 1
neighboring 1
no 2
not 3
nowhere 1
nurse 1
oberon 2
of 41
off 1
offered 1
old 1
on 10
once 1
one 1
opposite 1
or 2
order 2
originally 1
other 1
our 1
out 4
over 2
overmedicated 1
overpowers 1
pack 2
paid 1
passage 1
passed 2
past 2
pattern 7
persuades 1
picture 1
place 1
plans 1
pleasant 1
point 1
poor 1
power 2
powerful 2
powers 1
previously 1
prison 3
prisoner 1
private 1
proceed 1
project 1
projects 1
promise 1
promises 1
pronounce 1
protect 1
protection 1
pursued 1
pushed 1
pushes 1
queen 2
quickly 1
random 13
reach 2
reaches 1
realises 1
realized 1
rebma 6
receiving 1
recognises 2
recovered 1
recovering 1
reflection 3
regenerate 1
rein 1
reliving 1
remainder 1
remaining 1
remains 1
remembers 2
replaced 1
reserved 1
resolute 1
restore 2
rests 1
retreated 1
return 2
reveal 1
revealed 1
reveals 4
road 1
room 1
safe 2
sails 1
same 1
sanctuary 1
saving 1
saying 1
scheming 1
sea 2
searches 1
security 1
seek 1
seemingly 1
seize 1
sending 1
sentenced 1
sentences 1
servant 1
set 1
shadow 3
she 4
shows 1
side 1
sinister 1
sister 3
sisters 2
situated 1
skill 1
slain 1
smuggled 1
sneaky 1
so 2
soldiers 1
solitude 1
somehow 1
spined 1
spirit 1
spoon 2
spot 1
stating 1
stay 1
steed 1
stole 1
stretches 1
superior 2
support 1
supporting 1
surrounded 1
suspects 1
swordsman 1
table 2
tactician 1
take 1
takes 2
taking 1
tarot 1
taunts 1
telephone 1
teleported 1
tells 1
territory 1
that 12
the 83
their 6
them 6
then 8
there 3
they 6
things 1
this 3
three 2
throne 3
through 4
thrown 1
throws 2
time 1
to 59
travel 1
traveling 1
travels 1
true 3
trump 5
trumps 2
trumpswhose 1
twisted 1
two 2
ultimately 4
unable 2
underwater 1
up 2
upper 1
usage 1
uses 2
using 3
vale 1
valley 1
vast 1
via 2
vialle 1
views 2
violation 1
visits 1
waiting 1
walk 5
walked 1
walking 1
walks 1
wall 4
warped 1
warriors 1
was 3
way 2
weather 2
wed 1
wellbuilt 1
were 1
what 4
when 3
whether 1
which 12
while 3
whittling 1
who 11
whom 1
will 3
wishes 2
with 9
won 1
world 2
would 1
year 1
years 1
