24689702
/m/080680m
/m/080680m
Paul McAuley
2008
200 1
23rd 1
a 14
advanced 1
aftermath 1
against 1
aggressive 1
all 2
ambitious 1
america 2
among 1
an 2
and 13
antidemocratic 1
are 2
arrogant 1
as 2
assassin 1
at 1
be 2
become 1
been 2
being 1
benefits 1
biologist 1
blood 1
both 1
brazil 8
brilliant 1
bring 1
but 2
by 10
call 1
came 1
catastrophic 1
caught 1
caused 2
central 1
centuries 1
century 1
change 2
characters 1
cities 2
civilization 1
climate 2
climatic 1
cloned 1
colonies 3
colonized 1
conservative 1
consolidated 1
continent 1
control 2
controlling 1
corrupt 1
course 1
culturally 1
cutting 1
democracy 1
democratic 1
desert 1
designed 1
designs 1
destroyed 1
destruction 1
determination 1
devastated 1
dirty 1
disaster 1
does 1
dominated 1
due 1
dynamic 1
earth 3
earthly 1
earthouter 1
engineering 2
essentially 1
events 3
existence 1
extensive 1
extraordinary 1
families 2
few 1
fighter 1
fled 2
flee 1
followed 1
follows 1
for 6
forced 1
forces 1
form 1
formed 1
free 1
from 2
gardens 1
gene 3
genetic 2
gives 1
goodwill 1
greater 8
greedy 1
green 2
handful 1
has 5
have 2
highly 1
his 1
hostile 1
humanity 1
humans 1
in 6
include 1
individuals 1
infiltrate 1
initially 1
interprets 1
into 1
is 9
it 3
joint 1
jupiter 1
knowneventually 1
land 1
left 1
life 2
like 1
live 1
lives 2
longlived 1
loose 1
loss 1
man 1
marriage 1
mars 1
massive 1
mcauley 1
medieval 1
moon 1
moons 1
most 1
motion 1
nation 1
natural 1
north 2
not 1
novel 2
of 18
open 1
opera 1
or 1
outer 3
outers 4
over 2
particularly 1
people 1
philosophies 1
pilot 1
pioneersor 1
planet 4
political 1
politics 1
populated 1
population 4
powerful 2
powers 1
pristine 1
project 1
property 1
pure 1
quiet 2
reasons 1
rebuild 1
recruited 1
related 1
religious 1
remains 1
remember 1
restored 1
ruling 1
run 1
same 1
saturn 1
semifeudal 1
sequel 1
serfs 1
set 3
settled 1
small 1
soil 1
some 1
south 1
space 2
state 2
still 1
struggled 1
subdue 1
subject 1
sun 1
superiors 1
superpower 1
superpowers 2
survived 1
taken 1
technologically 1
technology 1
that 2
the 39
their 4
them 3
there 1
these 3
they 2
theyve 1
this 1
threatened 1
three 1
time 1
to 12
touchy 1
under 1
unprincipled 1
up 2
using 1
very 1
war 3
weasel 1
were 2
whereby 1
which 4
while 2
who 5
whom 1
wishes 1
with 2
wizard 3
work 1
