9008683
/m/027t80g
/m/027t80g
Basil Copper
1980
a 3
after 1
an 1
and 1
angela 1
autopsy 1
beatty 2
brockwood 1
bullion 1
by 2
cemetery 1
clyde 1
conspiracy 1
couchman 2
criminal 1
death 1
directed 1
dr 2
eerie 1
england 1
eventually 1
father 2
flees 1
gold 1
her 1
him 1
hired 1
his 1
home 1
horace 1
in 2
investigate 1
investigations 1
investigator 1
involving 1
is 2
lead 1
leading 1
london 1
meredith 2
millions 1
miss 1
murder 1
novel 1
nursing 1
of 3
pounds 1
private 1
reveals 1
set 1
sinister 1
surrey 1
the 4
to 4
victorian 1
worth 1
