3468166
/m/09f1ys
/m/09f1ys
Piers Anthony
1993
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
15yearold 1
a 36
able 1
about 1
across 2
advances 1
advantage 1
adventure 1
adventures 1
affair 1
after 4
again 4
agreeing 1
aided 1
all 2
along 1
also 1
an 6
and 26
angstridden 1
answer 1
appearance 2
appears 1
approximate 1
are 4
arrest 1
as 11
assuage 1
assumes 1
at 2
attacks 1
attempts 1
aunt 1
authorities 1
avoids 1
baal 16
bait 1
battered 1
be 2
becomes 1
before 1
begin 1
being 1
beirut 1
believes 2
between 1
bite 1
body 2
bombs 1
both 1
box 1
boy 1
boyfriend 1
broken 1
but 9
by 6
called 1
calling 2
calm 1
can 3
capable 1
capture 1
captures 1
car 1
castle 1
catches 1
causing 2
chance 1
character 1
charges 1
chase 1
code 1
comforted 1
company 1
complicated 1
conscience 1
contacts 1
convinced 1
cop 1
corners 1
couldnt 1
country 1
curran 1
current 1
cuts 1
danger 2
dangerous 1
days 1
death 1
deaths 1
decide 1
decides 1
dehydration 1
depressed 1
despite 2
destroys 1
diabetes 1
die 1
died 2
dies 1
different 1
directly 1
discover 1
disease 1
does 1
door 1
down 2
dragon 1
drive 1
druze 1
each 5
electric 1
elements 1
eluded 1
encase 1
end 2
enemy 1
entered 1
enters 1
error 1
especially 1
evading 2
even 2
eventual 1
eventually 2
every 1
evil 1
exboyfriend 1
execution 1
exit 1
experiencing 2
facetoface 1
fails 1
fantasy 1
father 1
fear 1
feelings 1
finally 2
find 1
finds 1
first 2
flirting 1
for 4
force 2
former 1
found 1
free 1
friends 1
from 5
game 16
games 2
get 1
gets 1
girl 2
give 2
gives 1
goes 3
guarded 1
guilty 1
gunslingers 1
hack 1
hacker 2
had 1
handle 1
handling 1
harass 1
has 10
have 1
having 2
he 29
heart 1
held 1
her 9
hero 1
him 9
himself 2
his 8
home 1
honorable 1
hooked 1
hospital 1
house 1
husband 1
i 1
identify 1
if 4
imprisoned 1
in 24
indeed 1
individuals 1
infiltrated 1
information 2
initially 1
inside 1
instruction 1
insulin 3
interfering 1
interrupted 1
into 2
involved 1
is 17
israeli 1
it 3
jealous 1
kill 1
killed 1
killobyte 2
knight 2
knows 1
last 1
later 1
learn 1
learning 1
leaving 1
line 1
list 1
lives 2
locations 1
lock 1
locked 1
locking 1
locks 1
longer 1
love 2
lurk 1
makes 2
man 1
manage 1
manipulated 1
manual 1
marry 1
may 1
meantime 1
meanwhile 1
meet 3
memorized 1
message 1
met 1
methods 1
mixes 1
modeled 1
modem 1
mole 1
more 1
mother 1
motions 1
must 2
name 1
narrowly 1
neglected 1
network 1
new 1
next 2
no 2
not 3
notices 1
novel 1
now 1
number 1
obstacles 1
of 14
officer 1
on 5
online 1
only 1
ordeal 1
other 5
out 1
own 2
pacemaker 1
palpitations 1
paralyzed 1
part 1
party 1
patch 2
path 1
perform 1
phony 1
phreak 15
places 1
plain 1
playing 1
point 1
police 4
poses 2
possible 1
potpourri 2
pounce 1
princess 2
prison 3
problem 1
protecting 1
pursued 1
quits 1
ran 1
rattlesnake 1
read 1
real 5
reappear 1
receives 2
recently 1
records 1
recovering 1
reenters 1
refute 1
relents 1
remains 1
rescue 1
resists 1
return 1
role 1
runaway 1
ruse 1
secretly 1
sect 1
section 3
sections 1
seduce 1
sets 1
setting 3
several 1
sex 3
sexual 2
shadows 1
she 14
shock 3
shocks 1
show 1
signals 1
simulated 1
since 1
small 1
snake 1
snakes 3
so 5
software 1
solve 1
soon 1
sorcerer 2
special 1
specific 1
spy 1
stay 1
still 2
successfully 1
suicide 1
survive 1
survives 1
take 1
talks 1
targets 1
teenage 1
telephone 2
telling 1
tells 1
temporarily 1
temptations 1
terrified 1
that 14
the 50
their 6
them 4
there 1
they 16
this 1
though 2
threatens 1
through 2
time 3
to 24
together 1
toland 1
too 1
traced 1
track 1
train 1
training 1
traumatized 1
tries 3
truth 1
trying 1
type 1
unable 1
under 1
unfortunately 1
unpredictable 1
unsuccessfully 1
up 6
use 1
using 1
various 2
vehicles 1
violent 1
virtual 1
volunteer 1
voluptuous 1
waist 1
waiting 1
wakes 1
walter 19
want 2
warrant 1
was 3
way 1
we 1
well 1
when 4
where 2
which 3
while 1
who 4
whom 1
whose 2
will 5
with 8
within 2
woman 1
women 1
world 3
would 2
years 1
