7554875
/m/02656v8
/m/02656v8
Syd Hoff
1958
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 12
about 1
across 1
adventurefilled 1
agree 1
all 1
almost 1
also 1
an 1
and 6
as 4
at 1
attending 1
back 1
baseball 1
be 1
big 1
book 1
both 1
buddy 1
building 1
but 3
celebrity 1
children 3
confusing 1
cream 1
cross 1
danny 10
day 4
delighted 1
did 1
dinosaur 10
drawn 1
driveway 1
each 1
eating 1
embark 1
ends 1
find 1
first 2
for 3
game 1
going 1
grass 1
has 1
have 1
he 4
helps 1
hide 1
him 1
his 2
home 2
house 1
hundreds 1
ice 1
illustrations 1
immediately 1
in 3
including 1
instead 1
is 4
lady 1
last 1
late 1
leave 1
lets 1
line 1
living 1
museum 4
neck 1
of 5
on 2
one 2
other 3
out 1
people 1
pet 1
play 2
playing 1
realizes 1
return 1
rides 1
river 1
rock 1
section 1
seek 1
sees 1
sentence 1
show 1
slide 1
stated 1
stay 1
story 2
street 1
takes 1
the 22
things 2
thinks 1
this 1
throughout 1
to 8
too 1
until 1
up 1
use 1
waits 1
walking 1
walks 2
wants 1
we 1
wellintentioned 1
went 1
while 1
with 3
wonderful 1
would 1
zoo 2
