4297148
/m/0bvqwr
/m/0bvqwr
Karen Armstrong
1993
{"/m/03g3w": "History", "/m/037mh8": "Philosophy", "/m/03rllnc": "Inspirational"}
17 1
a 5
about 1
abraham 1
according 1
accounts 1
action 1
actually 1
allah 1
an 1
analyses 1
ancient 1
and 15
anthropomorphic 1
appreciation 1
approaches 1
are 2
armstrong 6
as 2
attendant 1
authors 4
be 1
begins 1
between 2
book 1
both 1
brought 1
by 2
calvin 1
can 1
canaan 2
chapters 2
christian 2
conception 3
consisted 1
constructions 1
contrasting 1
contribution 1
creed 1
cult 2
d 1
death 2
deities 1
discusses 1
distance 1
e 2
each 1
east 1
eastern 1
effect 1
emphasis 1
encounters 1
ethnic 1
event 1
events 1
evolution 1
examination 1
examine 2
examined 2
examines 1
example 1
exist 1
explores 2
ezekiel 1
factor 1
final 1
follows 1
for 2
four 1
god 9
groups 4
have 1
he 1
hillel 1
his 3
hosea 1
how 1
idea 2
identifies 1
imams 1
in 11
including 2
intimate 1
iranian 1
isaiah 2
islam 2
islamic 1
israelite 1
its 3
j 2
jahweh 2
jesus 2
jewish 2
john 1
key 1
known 1
leading 1
legends 1
less 1
life 1
lives 1
loyalty 1
luther 1
made 1
major 1
make 1
martin 1
middle 1
migrated 1
modern 2
moreover 1
most 1
muhammad 1
mystical 1
nature 1
nicene 1
notably 1
notion 1
of 36
old 1
on 1
one 1
or 2
others 1
p 1
pagan 1
participated 1
particular 1
paul 1
pentateuch 2
pharisaic 1
philosophical 1
placed 1
postmodern 1
prefers 1
profane 1
prophet 1
prophets 1
protestantism 1
rabbi 1
relationship 1
religiosity 1
respective 1
respectively 1
result 1
revolution 1
rise 4
roots 1
second 1
seen 1
service 1
she 3
shia 2
social 1
some 1
sources 1
subsequent 1
supposed 1
symbolism 1
tension 1
tensions 2
textual 1
that 4
the 44
their 1
then 2
theological 1
theophanies 1
there 1
these 3
this 1
three 1
to 8
traces 1
tradition 1
traditions 1
trinitarianism 1
trinity 1
turns 1
unique 1
united 1
upon 2
variety 1
various 1
very 1
was 2
waves 1
way 1
were 1
western 1
while 1
with 3
world 1
worshipers 1
writes 1
yahweh 3
