22154722
/m/05q5d4z
/m/05q5d4z
Philip Turner
1965
{"/m/0dwly": "Children's literature"}
a 12
abandoned 1
about 3
accident 1
accidentally 2
accuracy 1
admiral 3
advantage 1
afterwards 1
ago 1
all 3
also 1
an 3
ancient 1
and 14
answer 1
aptly 1
are 3
arrives 1
arthur 2
as 1
at 3
augustus 1
ballista 2
be 1
because 1
been 1
before 1
being 1
below 1
bicycle 1
bird 3
birds 2
blizzard 1
boat 1
both 1
british 1
broke 1
broken 1
built 1
but 1
by 3
cadelltwitten 3
can 1
cannon 2
cellar 1
checks 1
christmas 1
church 5
cleaning 1
climbing 1
coastline 1
concerned 1
concerning 1
constructed 2
cottage 1
crowd 1
cuts 1
darnley 1
david 1
day 1
deep 1
dozens 1
drifts 1
ejection 1
electricity 1
empty 1
ends 1
energy 1
enthusiasm 1
even 1
except 1
exceptionally 1
explains 1
explore 2
exposure 1
fascinated 1
find 2
finds 1
fire 1
fired 1
flock 1
for 3
force 1
friends 1
frightened 1
from 2
gather 1
gathered 1
go 1
grange 3
grateful 1
guns 2
has 2
hear 1
heavy 1
held 1
help 2
her 2
high 1
hints 1
his 3
immediately 1
in 11
interested 1
invaded 1
is 6
isles 1
it 4
just 1
knows 1
little 1
look 1
makeshift 1
manage 1
mary 2
meet 1
mill 1
mills 1
miss 3
moor 1
moors 1
mr 2
mystery 1
named 1
nave 1
needs 1
nest 3
new 1
niche 1
novel 2
now 1
of 6
off 3
on 4
once 1
one 1
only 1
opens 1
operation 1
opportunity 1
peril 1
peter 2
pigeons 1
plans 1
plough 1
police 1
poses 1
pritchard 1
proposes 1
provide 1
quite 1
raft 1
ramsgill 1
recovered 1
refuses 1
reliable 1
remove 1
reroofing 1
rescue 1
return 1
returned 1
roman 1
safety 1
saints 2
salute 1
same 1
scattered 1
scotched 1
see 1
seeking 1
seething 1
sergeant 1
set 3
she 2
ship 1
should 1
sinking 1
snow 1
snowfall 1
snowshoes 1
some 1
spring 1
st 1
starts 1
statue 3
still 1
struggle 1
stumbling 1
succeed 1
suffering 1
taking 1
targets 1
tasks 1
tell 1
tells 1
terrace 1
test 1
testing 1
that 2
the 41
their 2
them 2
they 6
thorough 1
three 1
through 1
time 1
tiny 1
to 14
together 1
turn 1
two 1
twogun 1
underway 1
unnecessarily 1
until 1
up 1
various 1
virgin 1
waterfall 1
weapons 1
wheel 1
when 1
where 2
which 2
while 1
who 2
window 2
with 5
workshop 1
yellow 1
