12750299
/m/02x367y
/m/02x367y
Peter Ackroyd
1983-04
100 1
a 1
ackroyd 1
again 1
alfred 1
although 2
and 5
are 4
as 2
at 2
back 1
character 1
characters 2
completely 1
contained 1
death 1
detail 1
diary 3
douglas 1
earl 1
events 1
fairy 1
fictional 1
form 1
he 1
his 3
in 5
incarceration 1
included 1
invention 1
is 3
itself 1
jail 1
last 1
later 1
life 1
like 1
looks 1
lord 1
maurice 1
most 1
much 1
novel 1
of 5
oscar 1
pages 1
paris 1
pentonville 1
reading 1
real 1
robert 1
rosebery 1
ross 1
ruin 1
such 1
tales 1
the 10
these 1
this 1
those 1
through 1
to 1
trial 1
up 1
valet 1
was 1
which 1
wholly 1
wilde 3
writing 2
written 2
wrote 1
